# mu2 n0_GS n_exact n_diff
-1.99900 0.000003425158874 0.000009432836720 0.000006007677845
-1.95942 0.002389949590279 0.002399840478267 0.000009890887988
-1.91983 0.006549413140996 0.006558952278412 0.000009539137416
-1.88025 0.011783589214150 0.011792572563623 0.000008983349474
-1.84066 0.017867887354061 0.017830656157366 0.000037231196696
-1.80108 0.024519039034166 0.024512026533026 0.000007012501140
-1.76150 0.031734828371808 0.031726058684898 0.000008769686910
-1.72191 0.039405197286461 0.039390957563202 0.000014239723259
-1.68233 0.047466039075936 0.047443364483856 0.000022674592079
-1.64274 0.055825768987818 0.055832612404023 0.000006843416205
-1.60316 0.064495973111751 0.064517232351922 0.000021259240171
-1.56357 0.073473826366096 0.073462678660412 0.000011147705684
-1.52399 0.082599663213552 0.082639769842000 0.000040106628448
-1.48441 0.092038312820644 0.092023576480458 0.000014736340186
-1.44482 0.101572926712032 0.101592602304898 0.000019675592866
-1.40524 0.111336558997318 0.111328165288017 0.000008393709301
-1.36565 0.121238505965311 0.121213919721967 0.000024586243345
-1.32607 0.131261005968567 0.131235480399065 0.000025525569502
-1.28649 0.141438594194687 0.141380122472053 0.000058471722634
-1.24690 0.151739756673171 0.151636538530691 0.000103218142480
-1.20732 0.162031050498961 0.161994639684911 0.000036410814050
-1.16773 0.172426698114498 0.172445391005682 0.000018692891185
-1.12815 0.183001355590817 0.182980674146331 0.000020681444486
-1.08856 0.193651829725693 0.193593171718673 0.000058658007019
-1.04898 0.204410669898826 0.204276269263134 0.000134400635692
-1.00940 0.215044376615145 0.215023971580529 0.000020405034617
-0.96981 0.225855508716094 0.225830830885175 0.000024677830918
-0.93023 0.236761475001966 0.236691884761678 0.000069590240288
-0.89064 0.247642821171478 0.247602602307422 0.000040218864056
-0.85106 0.258536594280500 0.258558837151874 0.000022242871374
-0.81148 0.269592844391196 0.269556786285203 0.000036058105993
-0.77189 0.280641743623778 0.280592953819078 0.000048789804700
-0.73231 0.291603739659041 0.291664118953866 0.000060379294824
-0.69272 0.302787748523101 0.302767307547757 0.000020440975344
-0.65314 0.313947984115510 0.313899766781242 0.000048217334268
-0.61355 0.324975620578153 0.325058942489925 0.000083321911772
-0.57397 0.336255597060991 0.336242458803666 0.000013138257326
-0.53439 0.347492257097995 0.347448099783459 0.000044157314536
-0.49480 0.358582573785476 0.358673792791586 0.000091219006109
-0.45522 0.369927709132021 0.369917593367130 0.000010115764890
-0.41563 0.381216286023292 0.381177671409406 0.000038614613885
-0.37605 0.392365271004139 0.392452298497230 0.000087027493091
-0.33647 0.403750722253211 0.403739836193242 0.000010886059970
-0.29688 0.415069825081853 0.415038725200252 0.000031099881600
-0.25730 0.426272783498040 0.426347475251508 0.000074691753468
-0.21771 0.437680875812503 0.437664655629215 0.000016220183288
-0.17813 0.449009517719572 0.448988886216053 0.000020631503519
-0.13854 0.460260614273079 0.460318828992993 0.000058214719915
-0.09896 0.471679735449410 0.471653179903802 0.000026555545608
-0.05938 0.482997943159265 0.482990661012264 0.000007282147000
-0.01979 0.494288815171027 0.494330012882656 0.000041197711629
0.01979 0.505711184828973 0.505669987117344 0.000041197711629
