# mu2 e0_GS e_exact e_diff
-1.99900 -0.000008722760777 -0.000011316008509 0.000002593247732
-1.95942 -0.002662836955592 -0.002844856095408 0.000182019139815
-1.91983 -0.007468913552856 -0.007682600493256 0.000213686940400
-1.88025 -0.013548055772862 -0.013647250642723 0.000099194869862
-1.84066 -0.020417909477746 -0.020385993647096 0.000031915830650
-1.80108 -0.027712199688238 -0.027684392343304 0.000027807344934
-1.76150 -0.035511069831886 -0.035393584698400 0.000117485133487
-1.72191 -0.043616435764688 -0.043402746747569 0.000213689017119
-1.68233 -0.051887995674826 -0.051625725762849 0.000262269911977
-1.64274 -0.060259542956140 -0.059993552210197 0.000265990745943
-1.60316 -0.068781602509354 -0.068449828928515 0.000331773580839
-1.56357 -0.077333525482064 -0.076947694425831 0.000385831056233
-1.52399 -0.085857165541646 -0.085447719887645 0.000409445654001
-1.48441 -0.094363290938002 -0.093916395166906 0.000446895771095
-1.44482 -0.102770219644487 -0.102325004710485 0.000445214934002
-1.40524 -0.111136207950097 -0.110648771903300 0.000487436046798
-1.36565 -0.119385314065010 -0.118866194191937 0.000519119873074
-1.32607 -0.127490058012972 -0.126958517476865 0.000531540536107
-1.28649 -0.135452836940119 -0.134909314492398 0.000543522447720
-1.24690 -0.143266380235469 -0.142704142344905 0.000562237890565
-1.20732 -0.150889497060643 -0.150330261321412 0.000559235739232
-1.16773 -0.158362930678296 -0.157776401816795 0.000586528861501
-1.12815 -0.165636297898748 -0.165032569535961 0.000603728362787
-1.08856 -0.172694054075084 -0.172089881486685 0.000604172588399
-1.04898 -0.179543960535884 -0.178940426992660 0.000603533543224
-1.00940 -0.186204721269220 -0.185577149221992 0.000627572047228
-0.96981 -0.192612232113352 -0.191993743675020 0.000618488438332
-0.93023 -0.198806194092824 -0.198184570795905 0.000621623296920
-0.89064 -0.204785452932968 -0.204144580426407 0.000640872506561
-0.85106 -0.210512828814122 -0.209869246250913 0.000643582563209
-0.81148 -0.215992013313782 -0.215354508719908 0.000637504593874
-0.77189 -0.221233049441393 -0.220596725207048 0.000636324234345
-0.73231 -0.226246456588240 -0.225592626369226 0.000653830219014
-0.69272 -0.230985605338623 -0.230339277851545 0.000646327487078
-0.65314 -0.235476705499350 -0.234834046619236 0.000642658880114
-0.61355 -0.239726191651920 -0.239074571312981 0.000651620338939
-0.57397 -0.243716209382350 -0.243058736118342 0.000657473264008
-0.53439 -0.247436908733416 -0.246784647717906 0.000652261015510
-0.49480 -0.250897866425064 -0.250250614959749 0.000647251465315
-0.45522 -0.254110763003173 -0.253455130930184 0.000655632072989
-0.41563 -0.257054805561306 -0.256396857164652 0.000657948396654
-0.37605 -0.259726436223986 -0.259074609769438 0.000651826454549
-0.33647 -0.262139228306566 -0.261487347260110 0.000651881046456
-0.29688 -0.264291251727669 -0.263634159950971 0.000657091776699
-0.25730 -0.266171418084099 -0.265514260754464 0.000657157329634
-0.21771 -0.267780835816162 -0.267126977270863 0.000653858545298
-0.17813 -0.269124424922818 -0.268471745067378 0.000652679855440
-0.13854 -0.270204651368568 -0.269548102062486 0.000656549306081
-0.09896 -0.271011417683852 -0.270355683946194 0.000655733737657
-0.05938 -0.271548777991116 -0.270894220580456 0.000654557410661
-0.01979 -0.271818403256043 -0.271163533336374 0.000654869919669
0.01979 -0.271818403256043 -0.271163533336374 0.000654869919669
0.05938 -0.271548777991116 -0.270894220580456 0.000654557410660
0.09896 -0.271011417683852 -0.270355683946194 0.000655733737657
0.13854 -0.270204651368568 -0.269548102062486 0.000656549306082
0.17813 -0.269124424922818 -0.268471745067378 0.000652679855440
0.21771 -0.267780835816162 -0.267126977270863 0.000653858545298
0.25730 -0.266171418084098 -0.265514260754464 0.000657157329634
0.29688 -0.264291251727669 -0.263634159950971 0.000657091776699
0.33647 -0.262139228306567 -0.261487347260110 0.000651881046457
0.37605 -0.259726436223986 -0.259074609769438 0.000651826454548
0.41563 -0.257054805561306 -0.256396857164652 0.000657948396655
0.45522 -0.254110763003173 -0.253455130930184 0.000655632072989
0.49480 -0.250897866425063 -0.250250614959749 0.000647251465314
0.53439 -0.247436908733416 -0.246784647717907 0.000652261015509
0.57397 -0.243716209382350 -0.243058736118342 0.000657473264008
0.61355 -0.239726191651920 -0.239074571312981 0.000651620338939
0.65314 -0.235476705499350 -0.234834046619236 0.000642658880114
0.69272 -0.230985605338623 -0.230339277851545 0.000646327487078
0.73231 -0.226246456588240 -0.225592626369226 0.000653830219014
0.77189 -0.221233049441394 -0.220596725207048 0.000636324234346
0.81148 -0.215992013313782 -0.215354508719908 0.000637504593874
0.85106 -0.210512828814122 -0.209869246250913 0.000643582563209
0.89064 -0.204785452932968 -0.204144580426407 0.000640872506561
0.93023 -0.198806194092824 -0.198184570795905 0.000621623296919
0.96981 -0.192612232113353 -0.191993743675020 0.000618488438332
1.00940 -0.186204721269220 -0.185577149221992 0.000627572047228
1.04898 -0.179543960535885 -0.178940426992660 0.000603533543224
1.08856 -0.172694054075083 -0.172089881486685 0.000604172588398
1.12815 -0.165636297898748 -0.165032569535961 0.000603728362787
1.16773 -0.158362930678295 -0.157776401816795 0.000586528861500
1.20732 -0.150889497060644 -0.150330261321412 0.000559235739232
1.24690 -0.143266380235470 -0.142704142344905 0.000562237890565
1.28649 -0.135452836940119 -0.134909314492398 0.000543522447721
1.32607 -0.127490058012972 -0.126958517476865 0.000531540536107
1.36565 -0.119385314065010 -0.118866194191937 0.000519119873073
1.40524 -0.111136207950098 -0.110648771903300 0.000487436046798
1.44482 -0.102770219644487 -0.102325004710485 0.000445214934002
1.48441 -0.094363290938002 -0.093916395166906 0.000446895771095
1.52399 -0.085857165541646 -0.085447719887645 0.000409445654001
1.56357 -0.077333525482064 -0.076947694425831 0.000385831056233
1.60316 -0.068781602509354 -0.068449828928515 0.000331773580840
1.64274 -0.060259542956140 -0.059993552210197 0.000265990745943
1.68233 -0.051887995674827 -0.051625725762849 0.000262269911977
1.72191 -0.043616435764687 -0.043402746747569 0.000213689017119
1.76150 -0.035511069831887 -0.035393584698400 0.000117485133487
1.80108 -0.027712199688239 -0.027684392343304 0.000027807344934
1.84066 -0.020417909477746 -0.020385993647096 0.000031915830650
1.88025 -0.013548055772862 -0.013647250642723 0.000099194869862
1.91983 -0.007468913552856 -0.007682600493256 0.000213686940400
1.95942 -0.002662836955592 -0.002844856095408 0.000182019139815
1.99900 -0.000008722760777 -0.000011316008509 0.000002593247732
