# mu2 n0_GS n_exact n_diff
-1.99900 0.000296735685079 0.000009432836720 0.000287302848360
-1.95942 0.001565773360731 0.002399840478267 0.000834067117535
-1.91983 0.006192864841843 0.006558952278412 0.000366087436569
-1.88025 0.011968473036987 0.011792572563623 0.000175900473364
-1.84066 0.017238946310919 0.017830656157366 0.000591709846447
-1.80108 0.025166117333452 0.024512026533026 0.000654090800426
-1.76150 0.031508549114446 0.031726058684898 0.000217509570452
-1.72191 0.039134229565946 0.039390957563202 0.000256727997257
-1.68233 0.047892897917897 0.047443364483856 0.000449533434040
-1.64274 0.056793703504778 0.055832612404023 0.000961091100755
-1.60316 0.065298211196595 0.064517232351922 0.000780978844673
-1.56357 0.073414153858197 0.073462678660412 0.000048524802215
-1.52399 0.081229574243123 0.082639769842000 0.001410195598877
-1.48441 0.093940677235839 0.092023576480458 0.001917100755381
-1.44482 0.102509797121499 0.101592602304898 0.000917194816601
-1.40524 0.111653355476729 0.111328165288017 0.000325190188712
-1.36565 0.121514783362729 0.121213919721967 0.000300863640762
-1.32607 0.131968626721004 0.131235480399065 0.000733146321939
-1.28649 0.142595780966427 0.141380122472053 0.001215658494374
-1.24690 0.153001141330068 0.151636538530691 0.001364602799377
-1.20732 0.163039056329621 0.161994639684911 0.001044416644710
-1.16773 0.172735769681407 0.172445391005682 0.000290378675725
-1.12815 0.182156906365164 0.182980674146331 0.000823767781167
-1.08856 0.197451475029503 0.193593171718673 0.003858303310829
-1.04898 0.206908799767708 0.204276269263134 0.002632530504574
-1.00940 0.216600510881448 0.215023971580529 0.001576539300920
-0.96981 0.226619299730661 0.225830830885175 0.000788468845485
-0.93023 0.237062053962665 0.236691884761678 0.000370169200987
-0.89064 0.247964285676183 0.247602602307422 0.000361683368761
-0.85106 0.259221415241016 0.258558837151874 0.000662578089142
-0.81148 0.270587959569621 0.269556786285203 0.001031173284417
-0.77189 0.281800923750148 0.280592953819078 0.001207969931070
-0.73231 0.292708682868330 0.291664118953866 0.001044563914464
-0.69272 0.303286312220046 0.302767307547757 0.000519004672289
-0.65314 0.313575478183559 0.313899766781242 0.000324288597683
-0.61355 0.323629870737812 0.325058942489925 0.001429071752112
-0.57397 0.333490970898283 0.336242458803666 0.002751487905383
-0.53439 0.350379600780288 0.347448099783459 0.002931500996829
-0.49480 0.360484937416873 0.358673792791586 0.001811144625287
-0.45522 0.370815658649192 0.369917593367130 0.000898065282062
-0.41563 0.381436665388173 0.381177671409406 0.000258993978766
-0.37605 0.392402946979158 0.392452298497230 0.000049351518073
-0.33647 0.403715229172110 0.403739836193242 0.000024607021132
-0.29688 0.415274868653204 0.415038725200252 0.000236143452952
-0.25730 0.426888711720119 0.426347475251508 0.000541236468611
-0.21771 0.438347845217142 0.437664655629215 0.000683189587927
-0.17813 0.449518079021963 0.448988886216053 0.000529192805910
-0.13854 0.460365536090353 0.460318828992993 0.000046707097359
-0.09896 0.470922169313481 0.471653179903802 0.000731010590321
-0.05938 0.481241221062627 0.482990661012264 0.001749439949638
-0.01979 0.491370314353294 0.494330012882656 0.002959698529362
0.01979 0.508629685646706 0.505669987117344 0.002959698529362
0.05938 0.518758778937374 0.517009338987735 0.001749439949638
0.09896 0.529077830686519 0.528346820096198 0.000731010590321
0.13854 0.539634463909648 0.539681171007007 0.000046707097359
0.17813 0.550481920978037 0.551011113783947 0.000529192805910
0.21771 0.561652154782858 0.562335344370785 0.000683189587927
0.25730 0.573111288279882 0.573652524748492 0.000541236468610
0.29688 0.584725131346795 0.584961274799748 0.000236143452953
0.33647 0.596284770827891 0.596260163806758 0.000024607021133
0.37605 0.607597053020842 0.607547701502770 0.000049351518072
0.41563 0.618563334611828 0.618822328590594 0.000258993978766
0.45522 0.629184341350807 0.630082406632870 0.000898065282063
0.49480 0.639515062583127 0.641326207208414 0.001811144625288
0.53439 0.649620399219713 0.652551900216541 0.002931500996828
0.57397 0.666509029101718 0.663757541196334 0.002751487905384
0.61355 0.676370129262187 0.674941057510075 0.001429071752112
0.65314 0.686424521816441 0.686100233218758 0.000324288597682
0.69272 0.696713687779953 0.697232692452243 0.000519004672290
0.73231 0.707291317131670 0.708335881046134 0.001044563914464
0.77189 0.718199076249852 0.719407046180922 0.001207969931071
0.81148 0.729412040430379 0.730443213714797 0.001031173284417
0.85106 0.740778584758984 0.741441162848126 0.000662578089142
0.89064 0.752035714323817 0.752397397692578 0.000361683368762
0.93023 0.762937946037335 0.763308115238322 0.000370169200987
0.96981 0.773380700269340 0.774169169114825 0.000788468845485
1.00940 0.783399489118552 0.784976028419472 0.001576539300920
1.04898 0.793091200232292 0.795723730736866 0.002632530504573
1.08856 0.802548524970498 0.806406828281327 0.003858303310829
1.12815 0.817843093634836 0.817019325853669 0.000823767781166
1.16773 0.827264230318594 0.827554608994318 0.000290378675725
1.20732 0.836960943670380 0.838005360315090 0.001044416644710
1.24690 0.846998858669932 0.848363461469309 0.001364602799377
1.28649 0.857404219033574 0.858619877527947 0.001215658494373
1.32607 0.868031373278996 0.868764519600935 0.000733146321939
1.36565 0.878485216637272 0.878786080278034 0.000300863640762
1.40524 0.888346644523273 0.888671834711984 0.000325190188711
1.44482 0.897490202878501 0.898407397695102 0.000917194816601
1.48441 0.906059322764162 0.907976423519543 0.001917100755381
1.52399 0.918770425756878 0.917360230158000 0.001410195598878
1.56357 0.926585846141804 0.926537321339588 0.000048524802216
