# mu2 n0_GS n_exact n_diff
-1.99900 0.000127496350170 0.000040068234394 0.000087428115775
-1.95942 0.009211934469212 0.008741841282956 0.000470093186256
-1.91983 0.021215915396118 0.021151680131898 0.000064235264220
-1.88025 0.035280463821438 0.034387544804388 0.000892919017050
-1.84066 0.047589892445205 0.047732966549945 0.000143074104740
-1.80108 0.061352823211709 0.060930559522836 0.000422263688873
-1.76150 0.073690548685243 0.073881484026081 0.000190935340838
-1.72191 0.086701040034139 0.086551523737314 0.000149516296825
-1.68233 0.099083878347973 0.098935051816938 0.000148826531035
-1.64274 0.111451621808637 0.111039478432013 0.000412143376624
-1.60316 0.122733876973185 0.122878018392221 0.000144141419036
-1.56357 0.134892168103375 0.134466168766100 0.000425999337275
-1.52399 0.145864475374833 0.145819954154947 0.000044521219886
-1.48441 0.157255843545104 0.156955055219920 0.000300788325185
-1.44482 0.168214334097307 0.167886393255288 0.000327940842020
-1.40524 0.178461042941806 0.178627954827165 0.000166911885359
-1.36565 0.189756209075319 0.189192743406872 0.000563465668447
-1.32607 0.199702223498019 0.199592797258473 0.000109426239546
-1.28649 0.209970212941194 0.209839240386696 0.000130972554498
-1.24690 0.220270912696678 0.219942348258696 0.000328564437982
-1.20732 0.230103158324852 0.229911618255420 0.000191540069431
-1.16773 0.239466336383707 0.239755839436967 0.000289503053260
-1.12815 0.250030044906967 0.249483158830059 0.000546886076908
-1.08856 0.259237500230021 0.259101142936352 0.000136357293669
-1.04898 0.268683163916806 0.268616834001319 0.000066329915487
-1.00940 0.278271987043858 0.278036801048430 0.000235185995429
-0.96981 0.287609545308586 0.287367185929566 0.000242359379020
-0.93023 0.296564888794024 0.296613744761757 0.000048855967733
-0.89064 0.305218463084286 0.305781885166268 0.000563422081981
-0.85106 0.315252687169841 0.314876699730803 0.000375987439037
-0.81148 0.323972708447542 0.323902996097998 0.000069712349544
-0.77189 0.332911106969070 0.332865324054649 0.000045782914421
-0.73231 0.341956102723392 0.341767999962922 0.000188102760470
-0.69272 0.350803493344782 0.350615128840696 0.000188364504086
-0.65314 0.359347388365408 0.359410624365462 0.000063236000054
-0.61355 0.367650928691698 0.368158227045754 0.000507298354056
-0.57397 0.377295217942557 0.376861520776469 0.000433697166088
-0.53439 0.385619765347458 0.385523947969722 0.000095817377736
-0.49480 0.394132938437488 0.394148823431028 0.000015884993540
-0.45522 0.402822981916262 0.402739347131368 0.000083634784895
-0.41563 0.411462137957975 0.411298616008910 0.000163521949065
-0.37605 0.419860047614474 0.419829634919590 0.000030412694883
-0.33647 0.428028125870077 0.428335326843052 0.000307200972974
-0.29688 0.437459451025045 0.436818542439598 0.000640908585447
-0.25730 0.445511134957215 0.445282069044389 0.000229065912826
-0.21771 0.453709577011663 0.453728639177133 0.000019062165470
-0.17813 0.462116521040848 0.462160938638704 0.000044417597857
-0.13854 0.470654412686722 0.470581614260425 0.000072798426297
-0.09896 0.479088393382663 0.478993281366966 0.000095112015697
-0.05938 0.487298191143355 0.487398531009972 0.000100339866617
-0.01979 0.495326091339168 0.495799937026442 0.000473845687273
0.01979 0.504673908660831 0.504200062973558 0.000473845687272
0.05938 0.512701808856646 0.512601468990029 0.000100339866618
0.09896 0.520911606617337 0.521006718633034 0.000095112015697
0.13854 0.529345587313277 0.529418385739574 0.000072798426298
0.17813 0.537883478959153 0.537839061361296 0.000044417597857
0.21771 0.546290422988337 0.546271360822868 0.000019062165469
0.25730 0.554488865042785 0.554717930955611 0.000229065912826
0.29688 0.562540548974956 0.563181457560402 0.000640908585446
0.33647 0.571971874129923 0.571664673156948 0.000307200972975
0.37605 0.580139952385526 0.580170365080410 0.000030412694884
0.41563 0.588537862042024 0.588701383991090 0.000163521949065
0.45522 0.597177018083739 0.597260652868633 0.000083634784894
0.49480 0.605867061562511 0.605851176568972 0.000015884993539
0.53439 0.614380234652542 0.614476052030278 0.000095817377736
0.57397 0.622704782057443 0.623138479223531 0.000433697166087
0.61355 0.632349071308302 0.631841772954246 0.000507298354056
0.65314 0.640652611634592 0.640589375634539 0.000063236000054
0.69272 0.649196506655218 0.649384871159305 0.000188364504087
0.73231 0.658043897276609 0.658232000037078 0.000188102760469
0.77189 0.667088893030931 0.667134675945351 0.000045782914420
0.81148 0.676027291552458 0.676097003902002 0.000069712349544
0.85106 0.684747312830160 0.685123300269197 0.000375987439037
0.89064 0.694781536915714 0.694218114833732 0.000563422081981
0.93023 0.703435111205975 0.703386255238243 0.000048855967733
0.96981 0.712390454691414 0.712632814070434 0.000242359379020
