# param.mu, C, rho1, rho2, EG

-9.284171247461901e-01 4.645363395341334e-01 3.587023739162642e-01 3.586848170771859e-01 -1.315190629381910e-01
-8.284171247461902e-01 4.736660279324387e-01 3.742902059502621e-01 3.742602234223935e-01 -1.636100307182280e-01
-7.284171247461901e-01 4.816805963455087e-01 3.897298471819643e-01 3.897136552775227e-01 -1.978005988636890e-01
-6.284171247461900e-01 4.886295226059325e-01 4.050883331725887e-01 4.050126009629809e-01 -2.340888727140938e-01
-5.284171247461900e-01 4.944811905572695e-01 4.202495494663147e-01 4.203385323946484e-01 -2.723906219008270e-01
-4.284171247461899e-01 4.993622820278307e-01 4.355402652859998e-01 4.355890247704128e-01 -3.127589291637517e-01
-3.284171247461902e-01 5.031817334087043e-01 4.506837698213233e-01 4.506458086030136e-01 -3.551756991112961e-01
-2.284171247461901e-01 5.059696618448001e-01 4.657107560004806e-01 4.657056374496146e-01 -3.995939345781316e-01
-1.284171247461900e-01 5.077554968308918e-01 4.807229100432411e-01 4.807167566616897e-01 -4.460228380233006e-01
-2.841712474618996e-02 5.085401441943135e-01 4.957056337268857e-01 4.957210572385761e-01 -4.944533962173795e-01
7.158287525381013e-02 5.083253792043707e-01 5.107272421123362e-01 5.106813588930272e-01 -5.448830614388386e-01
1.715828752538098e-01 5.071190714907117e-01 5.256545054027409e-01 5.257546651359645e-01 -5.973209757653388e-01
2.715828752538099e-01 5.048839347235908e-01 5.408027192510627e-01 5.408994126620196e-01 -6.517698223001562e-01
3.715828752538100e-01 5.016388147855779e-01 5.559272740445382e-01 5.559011883394835e-01 -7.082070232064166e-01
4.715828752538100e-01 4.973929777069217e-01 5.710231407698221e-01 5.710506030128164e-01 -7.666841876293716e-01
5.715828752538101e-01 4.921099376705748e-01 5.862124881781386e-01 5.862358332136616e-01 -8.271856289843890e-01
6.715828752538098e-01 4.857847711987451e-01 6.014763606983192e-01 6.015156545045787e-01 -8.897391894374136e-01
7.715828752538099e-01 4.783658398065818e-01 6.168983191907039e-01 6.168730408481151e-01 -9.543442664988595e-01
8.715828752538100e-01 4.697989554003210e-01 6.325306587706678e-01 6.324633947654144e-01 -1.021072532580296e+00
9.715828752538100e-01 4.602202381307142e-01 6.481115695478604e-01 6.481812831094386e-01 -1.089948206608585e+00
1.071582875253810e+00 4.494496898090511e-01 6.639218305945982e-01 6.639643557074475e-01 -1.160919738572733e+00
1.171582875253810e+00 4.375041857875965e-01 6.798959560184241e-01 6.799490250446575e-01 -1.234089732194271e+00
1.271582875253810e+00 4.242627002582527e-01 6.961534129412238e-01 6.961280552997876e-01 -1.309463336532504e+00
1.371582875253810e+00 4.097163939570471e-01 7.126585035868126e-01 7.126749879705021e-01 -1.387197898229914e+00
1.471582875253810e+00 3.939038071568048e-01 7.293384497245605e-01 7.293862258212940e-01 -1.467220933278529e+00
1.571582875253810e+00 3.766278618098538e-01 7.463659749473144e-01 7.463762234932301e-01 -1.549611899928796e+00
1.671582875253810e+00 3.578079770816751e-01 7.637703558979038e-01 7.638090006135212e-01 -1.634545723549541e+00
1.771582875253810e+00 3.375103368737196e-01 7.814520007617275e-01 7.815163467554129e-01 -1.721974316386276e+00
1.871582875253810e+00 3.153422442213423e-01 7.997028003238565e-01 7.997989053723662e-01 -1.812142244881497e+00
1.971582875253810e+00 2.914758971383247e-01 8.183285901552759e-01 8.183899258631591e-01 -1.904938996034713e+00
2.071582875253810e+00 2.655314333256011e-01 8.375752290866851e-01 8.376408816682764e-01 -2.000705937020235e+00
2.171582875253810e+00 2.373455703684770e-01 8.574968750513148e-01 8.575117488578278e-01 -2.099487249665325e+00
2.271582875253810e+00 2.071483958117028e-01 8.778820167426570e-01 8.779715420811800e-01 -2.201431833650546e+00
2.371582875253810e+00 1.740730298913549e-01 8.992521963169039e-01 8.993356933329779e-01 -2.306823149257629e+00
2.471582875253810e+00 1.378974708742729e-01 9.216568316051715e-01 9.216904779938997e-01 -2.415890292649397e+00
2.571582875253810e+00 9.907086680319505e-02 9.447485011871102e-01 9.448160376605725e-01 -2.528656771696977e+00
2.671582875253810e+00 5.752519272010477e-02 9.685188410048783e-01 9.685638921494470e-01 -2.645063721642575e+00
2.771582875253810e+00 1.630042832635192e-02 9.912515851436310e-01 9.912867816077732e-01 -2.763685121737277e+00
