# param.mu, C, rho1, rho2, EG

-3.464091615137754e+00 9.900930004964222e-05 5.706870617825666e-05 5.909025902544910e-05 1.021833486429754e-04
-3.364091615137754e+00 1.331069963481364e-02 7.820969937455041e-03 7.762471971085197e-03 1.290136349493961e-02
-3.264091615137754e+00 3.465569692910174e-02 2.070679920619362e-02 2.051455221143383e-02 3.261943683436053e-02
-3.164091615137754e+00 5.769258166603333e-02 3.503661570051483e-02 3.482354714811357e-02 5.282939608471824e-02
-3.064091615137754e+00 8.196399592801751e-02 5.061651122819311e-02 5.030375171039606e-02 7.265046980579676e-02
-2.964091615137754e+00 1.055713281626018e-01 6.627137108254869e-02 6.575975982783785e-02 9.010485587171418e-02
-2.864091615137754e+00 1.290535633052283e-01 8.238174689517573e-02 8.182788326652851e-02 1.061021491302761e-01
-2.764091615137754e+00 1.508733534785167e-01 9.787585950863761e-02 9.769296693256729e-02 1.194117231957159e-01
-2.664091615137754e+00 1.728120401739174e-01 1.140244611323902e-01 1.134745191031047e-01 1.302270226749684e-01
-2.564091615137754e+00 1.935494424083551e-01 1.298815299641448e-01 1.294893205642877e-01 1.389758691171956e-01
-2.464091615137754e+00 2.132291991737901e-01 1.455256081432647e-01 1.450432038471933e-01 1.447648874493230e-01
-2.364091615137754e+00 2.326062928900475e-01 1.615754462188663e-01 1.609156978769152e-01 1.485930119664616e-01
-2.264091615137754e+00 2.497041137542241e-01 1.763504032476148e-01 1.756772261194360e-01 1.488072882191562e-01
-2.164091615137754e+00 2.668939930178722e-01 1.918666908038491e-01 1.914538280062609e-01 1.478763673157342e-01
-2.064091615137754e+00 2.827455222226294e-01 2.068502119530959e-01 2.064225767722984e-01 1.437709267637121e-01
-1.964091615137754e+00 2.985392907194894e-01 2.225322319054588e-01 2.217968078542326e-01 1.378121799576205e-01
-1.864091615137754e+00 3.121527346001086e-01 2.367598732194960e-01 2.362411387716603e-01 1.287058756020847e-01
-1.764091615137754e+00 3.256208572473106e-01 2.515963386759427e-01 2.516008668794828e-01 1.182221282932269e-01
-1.664091615137754e+00 3.382753043961995e-01 2.663504074817866e-01 2.658584260392503e-01 1.045468242861017e-01
-1.564091615137754e+00 3.495945314016826e-01 2.803503677649299e-01 2.804357266070339e-01 8.896588264483640e-02
-1.464091615137754e+00 3.611210655465057e-01 2.955550548625213e-01 2.950843528482431e-01 7.125403665312413e-02
-1.364091615137754e+00 3.710119001428865e-01 3.095399747371926e-01 3.089707449251540e-01 5.084074313922599e-02
-1.264091615137754e+00 3.805247608574902e-01 3.240055235379976e-01 3.240008250082898e-01 2.904493501920724e-02
-1.164091615137754e+00 3.891236808802256e-01 3.381589186264705e-01 3.378150910757234e-01 4.324157492459679e-03
-1.064091615137754e+00 3.966860184003582e-01 3.516947903897539e-01 3.520220057942264e-01 -2.227644727486955e-02
-9.640916151377543e-01 4.042589614556741e-01 3.665984526724991e-01 3.662432935429408e-01 -5.099567008106620e-02
-8.640916151377542e-01 4.105088059393616e-01 3.802717014947151e-01 3.798419933919905e-01 -8.210487078787176e-02
-7.640916151377541e-01 4.162629070815710e-01 3.943945566001260e-01 3.946454603968001e-01 -1.148134765838199e-01
