# param.mu, C, rho1, rho2, EG

-3.464091615137754e+00 9.650258950440311e-04 5.538950503117985e-04 6.011633409226531e-04 1.035588148990853e-03
-3.364091615137754e+00 1.187253626408265e-02 6.986057624171275e-03 6.296307012416141e-03 1.046900948749032e-02
-3.264091615137754e+00 3.547183259712212e-02 2.122687535320675e-02 2.023782106349220e-02 3.220045135186764e-02
-3.164091615137754e+00 6.051994166299516e-02 3.680202876410578e-02 3.523714662995525e-02 5.344933374989810e-02
-3.064091615137754e+00 8.147483736949072e-02 5.025884693886892e-02 5.001572575214116e-02 7.215040132753191e-02
-2.964091615137754e+00 1.064123214653666e-01 6.678191542236049e-02 6.520000223118486e-02 8.919092626797105e-02
-2.864091615137754e+00 1.307235242692209e-01 8.344179695144727e-02 8.120182375986046e-02 1.050536825133677e-01
-2.764091615137754e+00 1.516630432955671e-01 9.828380850907212e-02 9.707751136631676e-02 1.183352497993364e-01
-2.664091615137754e+00 1.771903891068984e-01 1.170626422935635e-01 1.144886754404602e-01 1.312465729177568e-01
-2.564091615137754e+00 1.952681365340737e-01 1.309126788789677e-01 1.288701344453372e-01 1.377853301667996e-01
-2.464091615137754e+00 2.137650420086896e-01 1.456018468583622e-01 1.429769251243465e-01 1.417772241659816e-01
-2.364091615137754e+00 2.329491470294582e-01 1.614539562146342e-01 1.609712210743282e-01 1.481721820396117e-01
-2.264091615137754e+00 2.516260108309466e-01 1.775585718788688e-01 1.756834849970051e-01 1.482601787123933e-01
-2.164091615137754e+00 2.685011652987082e-01 1.927675382667503e-01 1.905267486723558e-01 1.462408109488537e-01
-2.064091615137754e+00 2.835233531699275e-01 2.069208280704566e-01 2.056499561295955e-01 1.422685949891402e-01
-1.964091615137754e+00 2.970759790670245e-01 2.202619534694089e-01 2.207750401998611e-01 1.360425515486636e-01
-1.864091615137754e+00 3.152246570295937e-01 2.391360043551357e-01 2.367397530487088e-01 1.283133475823236e-01
-1.764091615137754e+00 3.273349170760674e-01 2.525108181744187e-01 2.507537998432006e-01 1.165675293441261e-01
-1.664091615137754e+00 3.392607978473426e-01 2.664016916885176e-01 2.643045217124244e-01 1.023110820636650e-01
-1.564091615137754e+00 3.510493771196052e-01 2.809630688493087e-01 2.774806553525668e-01 8.567919615562186e-02
-1.464091615137754e+00 3.623850457907900e-01 2.958925055685978e-01 2.959230073402643e-01 7.085101928836712e-02
