# param.mu, C, rho1, rho2, EG

-3.999990000000000e+00 6.910759305444396e-05 4.312108480052787e-05 4.491047577695581e-05 1.069550879427205e-04
-3.899990000000000e+00 7.923445191729552e-03 5.031809191595288e-03 4.975555407489379e-03 1.159086573966255e-02
-3.799990000000000e+00 2.097191958553113e-02 1.351461480897181e-02 1.321625703029247e-02 2.981660325471182e-02
-3.699990000000000e+00 3.603612817132487e-02 2.355931357371780e-02 2.348879778942094e-02 5.100264260992499e-02
-3.599990000000000e+00 5.247291322397276e-02 3.481896452534046e-02 3.432324123573115e-02 7.198271143492732e-02
-3.499990000000000e+00 6.880136809812264e-02 4.631152562809805e-02 4.614611386996693e-02 9.299903873529360e-02
-3.399990000000000e+00 8.600956992523336e-02 5.876948962374619e-02 5.871614643827569e-02 1.137154239520235e-01
-3.299990000000000e+00 1.033038873948757e-01 7.167075219374767e-02 7.106145126185982e-02 1.322035346458594e-01
-3.199990000000000e+00 1.197300330162202e-01 8.429856775964982e-02 8.398072516086838e-02 1.495159942601443e-01
-3.099990000000000e+00 1.365652180418194e-01 9.765165446739869e-02 9.701168316594917e-02 1.651619819731816e-01
-2.999990000000000e+00 1.521655655647428e-01 1.104335214038293e-01 1.102934762685994e-01 1.789238273089120e-01
-2.899990000000000e+00 1.681050428237146e-01 1.239334730184220e-01 1.232375696268274e-01 1.902917331566838e-01
-2.799990000000000e+00 1.827727422462296e-01 1.367887511853940e-01 1.365079462095944e-01 1.998412676232670e-01
-2.699990000000000e+00 1.979884470255378e-01 1.506118138461661e-01 1.499212139189068e-01 2.077296377921718e-01
-2.599990000000000e+00 2.115420443584212e-01 1.633939634580236e-01 1.625459279368247e-01 2.121781847554245e-01
-2.499990000000000e+00 2.252910124700299e-01 1.768632755673708e-01 1.764112904131183e-01 2.163004286327515e-01
-2.399990000000000e+00 2.382579804284806e-01 1.900860160954055e-01 1.894782561373560e-01 2.172172484294719e-01
-2.299990000000000e+00 2.501106108946372e-01 2.026728344052478e-01 2.027684566194160e-01 2.161448465772711e-01
-2.199990000000000e+00 2.627099639681167e-01 2.166510080482826e-01 2.160422156350800e-01 2.132504186174637e-01
-2.099990000000000e+00 2.737561109451825e-01 2.294884248107573e-01 2.286332355263705e-01 2.072693418005001e-01
-1.999990000000000e+00 2.847025438554439e-01 2.428265747476519e-01 2.425367046296980e-01 2.006583087055091e-01
-1.899990000000000e+00 2.949196875029630e-01 2.559162056759217e-01 2.553593203539674e-01 1.907895058478014e-01
-1.799990000000000e+00 3.042166752253563e-01 2.684561568551828e-01 2.685104596519223e-01 1.790505947979555e-01
-1.699990000000000e+00 3.139625489678480e-01 2.823629895786066e-01 2.817418297878620e-01 1.655237269695534e-01
-1.599990000000000e+00 3.222398398654698e-01 2.949047070247178e-01 2.943608324252365e-01 1.491696453667962e-01
-1.499990000000000e+00 3.303153876700832e-01 3.079173838981177e-01 3.082110590089072e-01 1.317778638679709e-01
-1.399990000000000e+00 3.379231930360503e-01 3.210247719172979e-01 3.206623646713615e-01 1.112545941403282e-01
-1.299990000000000e+00 3.447628446419015e-01 3.336759428312889e-01 3.334132916296118e-01 8.884182231151155e-02
-1.199990000000000e+00 3.509054544488848e-01 3.459113754550269e-01 3.464612622875827e-01 6.451466633349212e-02
-1.099990000000000e+00 3.573065841556396e-01 3.597875212111251e-01 3.593982835348680e-01 3.824201252563275e-02
-9.999899999999999e-01 3.625690468980682e-01 3.723142702042510e-01 3.718380237944046e-01 9.503379339789564e-03
-8.999899999999998e-01 3.674906148867161e-01 3.852520050131498e-01 3.856489990748823e-01 -2.058901755212211e-02
-7.999899999999998e-01 3.718769325232363e-01 3.981449983362235e-01 3.979384107047563e-01 -5.344754932388962e-02
-6.999899999999997e-01 3.756210159081153e-01 4.106010037688156e-01 4.105504226399742e-01 -8.822212242217103e-02
-5.999899999999996e-01 3.792015095629371e-01 4.244025491426441e-01 4.235156201570575e-01 -1.248302983638733e-01
-4.999899999999999e-01 3.818529430602103e-01 4.365342748284377e-01 4.363138417801640e-01 -1.636452781486430e-01
-3.999899999999998e-01 3.840936771108701e-01 4.489885281748616e-01 4.487119471629614e-01 -2.045580705456822e-01
-2.999899999999998e-01 3.858949469216575e-01 4.618365901768962e-01 4.625193181903531e-01 -2.472461824461120e-01
-1.999899999999997e-01 3.871768995738881e-01 4.746558772426053e-01 4.746785553473464e-01 -2.922482029870560e-01
-9.998999999999958e-02 3.879258612365016e-01 4.870660681407611e-01 4.871502042543274e-01 -3.392199186981094e-01
1.000000000006551e-05 3.881891656257338e-01 5.008508173589248e-01 5.000012949758748e-01 -3.881941698862955e-01
1.000100000000006e-01 3.879257614911117e-01 5.129363758790217e-01 5.128523314279508e-01 -4.392203257999972e-01
