# param.mu, C, rho1, rho2, EG

-2.828417124746190e+00 1.856854861806325e-03 9.788945951988200e-04 1.041309209458824e-03 1.000134656479219e-03
-2.728417124746190e+00 3.439608631118338e-02 1.864367471817289e-02 1.756277636241152e-02 1.499706426609246e-02
-2.628417124746190e+00 8.174350901739275e-02 4.515447194272729e-02 4.381248415684606e-02 3.517762645693778e-02
-2.528417124746190e+00 1.162236497493672e-01 6.521753803597867e-02 6.537710317733153e-02 4.887521387254189e-02
-2.428417124746190e+00 1.558327588009722e-01 8.914746629315456e-02 8.784478317767100e-02 5.907274598017909e-02
-2.328417124746190e+00 1.908806819953427e-01 1.112034239206870e-01 1.095470688616484e-01 6.611893184993231e-02
-2.228417124746190e+00 2.191771258519667e-01 1.297379709905648e-01 1.297224197927430e-01 6.991586315546416e-02
-2.128417124746190e+00 2.526394179374259e-01 1.526653344841203e-01 1.513118016756830e-01 7.085565312948888e-02
-2.028417124746190e+00 2.780845110684334e-01 1.709986897692678e-01 1.692069287514710e-01 6.695494020273479e-02
-1.928417124746190e+00 3.039432529903323e-01 1.905543385861204e-01 1.902364327989798e-01 6.321846925183700e-02
-1.828417124746190e+00 3.277145082161803e-01 2.094939259597101e-01 2.079194519934608e-01 5.388837595768547e-02
-1.728417124746190e+00 3.481233907920476e-01 2.266524895555245e-01 2.254308699846756e-01 4.257091942898783e-02
-1.628417124746190e+00 3.658632123677624e-01 2.423831537484971e-01 2.429632536471834e-01 2.930998825082104e-02
-1.528417124746190e+00 3.876685597780646e-01 2.630040432133675e-01 2.613892749987572e-01 1.307730405088020e-02
-1.428417124746190e+00 4.029085960322466e-01 2.784780728275782e-01 2.773878521648878e-01 -5.904392871186770e-03
-1.328417124746190e+00 4.178072103348681e-01 2.946520120002286e-01 2.927067354525137e-01 -2.767850109202036e-02
-1.228417124746190e+00 4.321486946797308e-01 3.114310778190539e-01 3.122064282441185e-01 -4.910519863872731e-02
-1.128417124746190e+00 4.450976720582613e-01 3.278754167860610e-01 3.271921116061531e-01 -7.550296360679359e-02
-1.028417124746190e+00 4.562393934054472e-01 3.433219447046615e-01 3.423877684712457e-01 -1.036415875879965e-01
-9.284171247461901e-01 4.657985891803340e-01 3.578520915683094e-01 3.580763557213430e-01 -1.334584739020023e-01
-8.284171247461902e-01 4.770937244065812e-01 3.771396985253068e-01 3.744605486771670e-01 -1.657744665335816e-01
-7.284171247461901e-01 4.842093947855790e-01 3.910335440350161e-01 3.899698029611023e-01 -1.997612885675472e-01
-6.284171247461900e-01 4.906463001558499e-01 4.053185381263743e-01 4.047584554389743e-01 -2.361131725961628e-01
-5.284171247461900e-01 4.964071021232956e-01 4.202257142476590e-01 4.188948668638988e-01 -2.747042597301349e-01
-4.284171247461899e-01 5.013580239888837e-01 4.356956456866707e-01 4.379446394162311e-01 -3.142167944857703e-01
-3.284171247461902e-01 5.052560168696436e-01 4.511167276797399e-01 4.516436391968709e-01 -3.570150348574274e-01
-2.284171247461901e-01 5.080084778553977e-01 4.658934693691706e-01 4.657004724718500e-01 -4.016124730422500e-01
-1.284171247461900e-01 5.097239848025692e-01 4.799641013949750e-01 4.803363043879966e-01 -4.480644763009448e-01
-2.841712474618996e-02 5.105394529443487e-01 4.935247166867932e-01 4.955981611395923e-01 -4.964854388400973e-01
