# param.mu, C, rho1, rho2, EG

-2.828417124746190e+00 5.164687967927397e-04 2.731231548482773e-04 2.831589052581553e-04 2.702300557043220e-04
-2.728417124746190e+00 3.530552876936464e-02 1.912514880288082e-02 1.871334893266371e-02 1.631407382880018e-02
-2.628417124746190e+00 7.647471710138555e-02 4.219636455088475e-02 4.156681025894407e-02 3.360756444524583e-02
-2.528417124746190e+00 1.186746969901609e-01 6.674104934875474e-02 6.604467522062960e-02 4.919415297137027e-02
-2.428417124746190e+00 1.539322558813661e-01 8.807472474053368e-02 8.797599980498395e-02 5.983004127378866e-02
-2.328417124746190e+00 1.897119162884519e-01 1.106124287177281e-01 1.097889638107378e-01 6.688127205214156e-02
-2.228417124746190e+00 2.229129384964617e-01 1.324675358711893e-01 1.315584104017674e-01 7.126703152952546e-02
-2.128417124746190e+00 2.502810278319361e-01 1.513103046608761e-01 1.505911874645650e-01 7.100512508117179e-02
-2.028417124746190e+00 2.780186325814085e-01 1.713049315430729e-01 1.708040931713257e-01 6.895126954904340e-02
-1.928417124746190e+00 3.027733658877656e-01 1.900477855251746e-01 1.894144940661617e-01 6.310741319181429e-02
-1.828417124746190e+00 3.272107150333753e-01 2.095555541285747e-01 2.085719174393250e-01 5.504499963741144e-02
-1.728417124746190e+00 3.471836836177956e-01 2.264059702865817e-01 2.258103397599366e-01 4.362552356917188e-02
-1.628417124746190e+00 3.669542959758049e-01 2.440524827551065e-01 2.442469680005783e-01 3.062329783155315e-02
-1.528417124746190e+00 3.853081324153769e-01 2.614731249702529e-01 2.608229703244109e-01 1.383501570283918e-02
-1.428417124746190e+00 4.012306617756061e-01 2.775879519605098e-01 2.775460113951900e-01 -4.749231882853366e-03
-1.328417124746190e+00 4.176323515692974e-01 2.954098377389364e-01 2.946550017831964e-01 -2.570623280339052e-02
-1.228417124746190e+00 4.308864793961609e-01 3.109643492691054e-01 3.104434586088044e-01 -4.921248307205350e-02
-1.128417124746190e+00 4.436423849957462e-01 3.271786090424482e-01 3.277741819439106e-01 -7.411241237108646e-02
-1.028417124746190e+00 4.552369164718502e-01 3.432863546570996e-01 3.429110522310361e-01 -1.023883343717562e-01
-9.284171247461901e-01 4.651605279468564e-01 3.584603562684460e-01 3.583795063982469e-01 -1.323973258466240e-01
-8.284171247461902e-01 4.750896342428345e-01 3.754205176169411e-01 3.743795152801578e-01 -1.645160405492277e-01
-7.284171247461901e-01 4.826119986229204e-01 3.899671362805299e-01 3.896783513776236e-01 -1.986584364022737e-01
-6.284171247461900e-01 4.894468880478032e-01 4.050648003640631e-01 4.042783480166861e-01 -2.351443409285735e-01
-5.284171247461900e-01 4.954391134046043e-01 4.205828307214196e-01 4.209251472169425e-01 -2.731055003280196e-01
-4.284171247461899e-01 5.002367067334259e-01 4.356018830546772e-01 4.354205314622760e-01 -3.136562475250074e-01
-3.284171247461902e-01 5.038804902850844e-01 4.499084406591293e-01 4.504861546542380e-01 -3.560279882201716e-01
-2.284171247461901e-01 5.069447019737653e-01 4.663589326879828e-01 4.658321072511769e-01 -4.004805034452334e-01
-1.284171247461900e-01 5.086294881858392e-01 4.806860407180740e-01 4.806114508938572e-01 -4.469059582365748e-01
