# param.mu, C, rho1, rho2, EG

-2.828417124746190e+00 2.031516258822423e-04 1.075586867601319e-04 1.102811669935829e-04 1.049193605223641e-04
-2.728417124746190e+00 3.288907908696473e-02 1.779908830211079e-02 1.764229692043444e-02 1.546036209599476e-02
-2.628417124746190e+00 7.583943663278508e-02 4.183824408225036e-02 4.156372842025108e-02 3.376814974880772e-02
-2.528417124746190e+00 1.168014451071684e-01 6.565859918397413e-02 6.527141899488458e-02 4.872140494620976e-02
-2.428417124746190e+00 1.539669507880581e-01 8.813495833751507e-02 8.778707369398064e-02 5.963908681465790e-02
-2.328417124746190e+00 1.892039828399692e-01 1.103441196396561e-01 1.098622968887806e-01 6.716221277193307e-02
-2.228417124746190e+00 2.214878479393231e-01 1.315928955180955e-01 1.311605659274983e-01 7.127430859652648e-02
-2.128417124746190e+00 2.501348688621318e-01 1.513125162094191e-01 1.512959847725948e-01 7.190368892981452e-02
-2.028417124746190e+00 2.774363358206107e-01 1.709978139431363e-01 1.705931751981609e-01 6.900817019598793e-02
-1.928417124746190e+00 3.028653723807170e-01 1.902684768282885e-01 1.898555119818577e-01 6.365343239344062e-02
-1.828417124746190e+00 3.254426124096358e-01 2.082905371692240e-01 2.085039382598506e-01 5.559446577742683e-02
-1.728417124746190e+00 3.470202398997208e-01 2.264745747560759e-01 2.260520883395875e-01 4.405717704967649e-02
-1.628417124746190e+00 3.673536794486618e-01 2.446530458494409e-01 2.439606638357678e-01 3.047978666991674e-02
-1.528417124746190e+00 3.846310412878812e-01 2.610788249602631e-01 2.607447013916169e-01 1.415096559794793e-02
-1.428417124746190e+00 4.014356787854464e-01 2.781162451165771e-01 2.780597492952216e-01 -4.210021390169127e-03
-1.328417124746190e+00 4.165394566480420e-01 2.945349720014949e-01 2.943047554307798e-01 -2.542706782208559e-02
-1.228417124746190e+00 4.309403492216922e-01 3.114286702375122e-01 3.109459132171395e-01 -4.867255106045665e-02
-1.128417124746190e+00 4.431782736506981e-01 3.270095173119213e-01 3.266617039197521e-01 -7.437137365491031e-02
-1.028417124746190e+00 4.547654791468477e-01 3.431137386735704e-01 3.431237161813372e-01 -1.018963040393339e-01
-9.284171247461901e-01 4.649016603822750e-01 3.586343976547245e-01 3.585044078537275e-01 -1.319996864552379e-01
-8.284171247461902e-01 4.743871240090502e-01 3.748351117449424e-01 3.743400186679050e-01 -1.640723702750686e-01
-7.284171247461901e-01 4.821173497132556e-01 3.897465709523533e-01 3.895280141790645e-01 -1.982988733686519e-01
-6.284171247461900e-01 4.891166153476322e-01 4.052101566344936e-01 4.055031424765619e-01 -2.343835551371985e-01
-5.284171247461900e-01 4.949659389348210e-01 4.203615679069617e-01 4.202482369377374e-01 -2.728696308800752e-01
-4.284171247461899e-01 5.000137249388259e-01 4.362364440656015e-01 4.355388042338313e-01 -3.132720022881565e-01
-3.284171247461902e-01 5.036378637210452e-01 4.506816537632865e-01 4.506048839107654e-01 -3.556388970833647e-01
-2.284171247461901e-01 5.064257520594511e-01 4.656963854815716e-01 4.650358839271133e-01 -4.001281576160369e-01
-1.284171247461900e-01 5.082238290267813e-01 4.807982131563556e-01 4.807918154438734e-01 -4.464815156980573e-01
-2.841712474618996e-02 5.089959877311696e-01 4.952653890283937e-01 4.956711930609473e-01 -4.949162034967717e-01
7.158287525381013e-02 5.087802436295673e-01 5.109122065330900e-01 5.108347047022522e-01 -5.453500344735299e-01
1.715828752538098e-01 5.075794514447353e-01 5.256521090894144e-01 5.254430952965288e-01 -5.977544201117507e-01
2.715828752538099e-01 5.053308672255423e-01 5.408613398241714e-01 5.411326719942429e-01 -6.522563895940672e-01
3.715828752538100e-01 5.021740665850499e-01 5.556047816329871e-01 5.558129388597765e-01 -7.086659626794181e-01
4.715828752538100e-01 4.977369531102295e-01 5.713590128733288e-01 5.711265182531969e-01 -7.671252589624912e-01
5.715828752538101e-01 4.926023066925438e-01 5.860786605343895e-01 5.861692838489946e-01 -8.276207319730554e-01
6.715828752538098e-01 4.862042239804812e-01 6.015054877230319e-01 6.021308443037370e-01 -8.903749982917246e-01
7.715828752538099e-01 4.788665169148130e-01 6.167521954514817e-01 6.169354909479005e-01 -9.548126630334408e-01
8.715828752538100e-01 4.699875090506869e-01 6.329190607541016e-01 6.325499221575968e-01 -1.021468056386033e+00
9.715828752538100e-01 4.607286812319646e-01 6.479461776340423e-01 6.481883912919666e-01 -1.090379756828459e+00
1.071582875253810e+00 4.498892956751620e-01 6.638478892688546e-01 6.634363117421487e-01 -1.161036805874326e+00
1.171582875253810e+00 4.379647540506311e-01 6.797857590693933e-01 6.800297012193136e-01 -1.234533007440444e+00
1.271582875253810e+00 4.242262473438182e-01 6.966183093383957e-01 6.963362387191022e-01 -1.309854822002231e+00
1.371582875253810e+00 4.102915080178364e-01 7.124005364887700e-01 7.127405330345054e-01 -1.387641050907348e+00
1.471582875253810e+00 3.942826428018729e-01 7.292781624135716e-01 7.289290896800900e-01 -1.467219053177846e+00
1.571582875253810e+00 3.772457277515744e-01 7.460649903948259e-01 7.463959076794627e-01 -1.550008722451311e+00
1.671582875253810e+00 3.579875071864648e-01 7.638596736106559e-01 7.639840034243526e-01 -1.634946170484731e+00
1.771582875253810e+00 3.380455273193703e-01 7.812142830776612e-01 7.814961999941987e-01 -1.722281092714228e+00
1.871582875253810e+00 3.156789703645795e-01 7.996189461367166e-01 7.999996616415153e-01 -1.812588366992119e+00
1.971582875253810e+00 2.911089881608080e-01 8.187639758803189e-01 8.186718949114959e-01 -1.905279249250535e+00
2.071582875253810e+00 2.661880021277890e-01 8.372280812537569e-01 8.376701536321682e-01 -2.001033252719047e+00
2.171582875253810e+00 2.376473606762994e-01 8.573925706539930e-01 8.577890712077073e-01 -2.099976901384590e+00
2.271582875253810e+00 2.069163186811779e-01 8.781145104229768e-01 8.782667434579838e-01 -2.201799108047580e+00
2.371582875253810e+00 1.742605418676871e-01 8.991896860739779e-01 8.994471840246373e-01 -2.307068741830681e+00
2.471582875253810e+00 1.391913058222269e-01 9.209096460664976e-01 9.213124864352782e-01 -2.415793643374700e+00
2.571582875253810e+00 9.933258699603172e-02 9.446129090776000e-01 9.449295475889787e-01 -2.528890098810426e+00
2.671582875253810e+00 5.752166139173452e-02 9.685235600712574e-01 9.687007504526033e-01 -2.645249308152192e+00
2.771582875253810e+00 1.697477196224876e-02 9.908840090287445e-01 9.910609013715574e-01 -2.763537058643211e+00
