# param.mu, C, rho1, rho2, EG

-3.999990000000000e+00 6.886073481180868e-04 4.278724317823739e-04 4.699411638874048e-04 1.107015354153492e-03
-3.899990000000000e+00 5.995621891808646e-03 3.809117268641339e-03 3.383787794483890e-03 8.030507016760235e-03
-3.799990000000000e+00 2.138437198929542e-02 1.381341783655351e-02 1.263410632964593e-02 2.886579168886268e-02
-3.699990000000000e+00 3.512235706959370e-02 2.296366262645252e-02 2.238793912972665e-02 4.877787942132897e-02
-3.599990000000000e+00 5.312196582076191e-02 3.525881619103707e-02 3.342182593284285e-02 7.050284659901133e-02
-3.499990000000000e+00 6.863633339342706e-02 4.617704347672665e-02 4.555667817911757e-02 9.189722083569205e-02
-3.399990000000000e+00 8.681837873667439e-02 5.933431387689447e-02 5.743703168703293e-02 1.116923248652744e-01
-3.299990000000000e+00 1.046708367791946e-01 7.264059178847762e-02 7.021045121603767e-02 1.310326699230406e-01
-3.199990000000000e+00 1.205932831450838e-01 8.486388509167267e-02 8.325292332690616e-02 1.483927697406002e-01
-3.099990000000000e+00 1.349454851236687e-01 9.619335588667567e-02 9.589542518877198e-02 1.627911650993698e-01
-2.999990000000000e+00 1.548934984277134e-01 1.124767496814146e-01 1.099105107928410e-01 1.786862803473677e-01
-2.899990000000000e+00 1.688804039200066e-01 1.243274754582348e-01 1.217589959393445e-01 1.879437491741264e-01
-2.799990000000000e+00 1.834282229506765e-01 1.370603784800768e-01 1.373807125855987e-01 2.007879323358139e-01
-2.699990000000000e+00 1.984966675653284e-01 1.507232101950658e-01 1.497382137673292e-01 2.071247524767851e-01
-2.599990000000000e+00 2.132310050807828e-01 1.645923093650642e-01 1.623746574686510e-01 2.118244169682128e-01
-2.499990000000000e+00 2.268225931759990e-01 1.778890116896708e-01 1.752925033211690e-01 2.146525346799757e-01
-2.399990000000000e+00 2.391643937342792e-01 1.904400449866271e-01 1.885630177482380e-01 2.156373865322452e-01
-2.299990000000000e+00 2.504642963654176e-01 2.023808124022433e-01 2.019895251169039e-01 2.145595699299140e-01
-2.199990000000000e+00 2.662054562695336e-01 2.198289398990948e-01 2.163412594593345e-01 2.135795821737418e-01
-2.099990000000000e+00 2.762130995207006e-01 2.315220527091758e-01 2.290517824021013e-01 2.073871244769648e-01
-1.999990000000000e+00 2.860462164219986e-01 2.435213088968358e-01 2.413744286903648e-01 1.988470966865141e-01
-1.899990000000000e+00 2.958063409886421e-01 2.560075529330672e-01 2.533882448504624e-01 1.881171199267221e-01
-1.799990000000000e+00 3.055065076865346e-01 2.690731751340716e-01 2.706498308050271e-01 1.802414990436245e-01
-1.699990000000000e+00 3.149470376146674e-01 2.825175320063164e-01 2.826017435580929e-01 1.654015210187026e-01
-1.599990000000000e+00 3.237861689128428e-01 2.958759561176718e-01 2.946959267172196e-01 1.486683844956559e-01
-1.499990000000000e+00 3.318044225502423e-01 3.087750135693721e-01 3.070195020078835e-01 1.300383851601215e-01
-1.399990000000000e+00 3.390014715117677e-01 3.211286885445171e-01 3.196967568205568e-01 1.095731361165571e-01
-1.299990000000000e+00 3.454799076575122e-01 3.330182967456621e-01 3.327589411904515e-01 8.727196811477178e-02
-1.199990000000000e+00 3.513405197696208e-01 3.445447126905262e-01 3.460274244032174e-01 6.299930962593986e-02
-1.099990000000000e+00 3.595292101067183e-01 3.622591695041946e-01 3.594992355793553e-01 3.743430389720859e-02
-9.999899999999999e-01 3.643382964658539e-01 3.738367907990619e-01 3.722616726047493e-01 8.707204743734653e-03
-8.999899999999998e-01 3.688282942082424e-01 3.857000234430762e-01 3.846098993662855e-01 -2.219268049364376e-02
-7.999899999999998e-01 3.730018793494314e-01 3.979605489058888e-01 3.965895134000392e-01 -5.518582717737180e-02
-6.999899999999997e-01 3.768315687440279e-01 4.106772291080867e-01 4.082702343683312e-01 -9.020405126459918e-02
-5.999899999999996e-01 3.802403691441917e-01 4.237363579826138e-01 4.262098397344712e-01 -1.252607595600549e-01
-4.999899999999999e-01 3.831271006863510e-01 4.368250206303186e-01 4.377704019159918e-01 -1.644826180268862e-01
-3.999899999999998e-01 3.854327704980844e-01 4.496133213564451e-01 4.495356865257647e-01 -2.056074646666820e-01
-2.999899999999998e-01 3.871698357469285e-01 4.619512848789916e-01 4.615924233032149e-01 -2.486428972381386e-01
-1.999899999999997e-01 3.883896658872378e-01 4.738650841237320e-01 4.740312939035061e-01 -2.936047675664043e-01
-9.998999999999958e-02 3.891441539799390e-01 4.854462536724362e-01 4.868770947945292e-01 -3.405328481733332e-01
1.000000000006551e-05 3.894718609705484e-01 5.032264171249872e-01 5.000013176673423e-01 -3.894768771092224e-01
1.000100000000006e-01 3.891440468090586e-01 5.145560352226625e-01 5.131255095860834e-01 -4.405332624572202e-01
2.000100000000002e-01 3.883894699711810e-01 5.261372622161202e-01 5.259712357924913e-01 -4.936055803145323e-01
3.000099999999999e-01 3.871695419434854e-01 5.380511376180412e-01 5.384100237106650e-01 -5.486440984485979e-01
4.000100000000004e-01 3.854323676006233e-01 5.503891926699295e-01 5.504666924009103e-01 -6.056090488942169e-01
5.000100000000001e-01 3.831265807276649e-01 5.631775757816043e-01 5.622319282374267e-01 -6.644845837799427e-01
6.000100000000006e-01 3.802397364658183e-01 5.762662692763528e-01 5.737924561425803e-01 -7.252631043851256e-01
7.000100000000002e-01 3.768308415329317e-01 5.893253561087585e-01 5.917320756654038e-01 -7.902068479410476e-01
8.000100000000008e-01 3.730010773141080e-01 6.020419489328435e-01 6.034128505272541e-01 -8.551890243721448e-01
9.000100000000004e-01 3.688274276229867e-01 6.143023853452612e-01 6.153925310245049e-01 -9.221962884639636e-01
1.000010000000000e+00 3.643373668624080e-01 6.261655496585753e-01 6.277408381756358e-01 -9.912968303114528e-01
1.100010000000001e+00 3.595282157445470e-01 6.377431241046351e-01 6.405033565365740e-01 -1.062570171329615e+00
1.200010000000000e+00 3.513394042519798e-01 6.554575613897993e-01 6.539752286701065e-01 -1.137005625451874e+00
1.300010000000001e+00 3.454786766015744e-01 6.669840419709339e-01 6.672437014851624e-01 -1.212733380986755e+00
1.400010000000000e+00 3.390001077393184e-01 6.788737321054897e-01 6.803058191888891e-01 -1.290432589543140e+00
1.500010000000000e+00 3.318029036918595e-01 6.912275105123343e-01 6.929829944097976e-01 -1.369967703435983e+00
1.600010000000001e+00 3.237844799032435e-01 7.041266771929495e-01 7.053065109113280e-01 -1.451338077552606e+00
