# mu2 n0_GS n_exact n_diff
-1.99900 0.000000000000000 0.000006916694511 0.000006916694511
-1.95942 0.001745320085639 0.001781221994849 0.000035901909210
-1.91983 0.004558825875988 0.004925729322154 0.000366903446165
-1.88025 0.008377752979525 0.008957249511092 0.000579496531567
-1.84066 0.013142879311277 0.013693079065938 0.000550199754661
-1.80108 0.018780927764559 0.019025045775395 0.000244118010836
-1.76150 0.025239326110953 0.024878672261752 0.000360653849200
-1.72191 0.032534977178499 0.031198265415396 0.001336711763103
-1.68233 0.037601155417736 0.037939919284301 0.000338763866564
-1.64274 0.046025802577841 0.045067719990587 0.000958082587254
-1.60316 0.051660108156340 0.052551478968395 0.000891370812055
-1.56357 0.061161063982352 0.060365281612294 0.000795782370058
-1.52399 0.067285683351643 0.068486507709559 0.001200824357916
-1.48441 0.077791420506084 0.076895142293646 0.000896278212438
-1.44482 0.084364669806857 0.085573274269360 0.001208604462503
-1.40524 0.095801258492504 0.094504721384601 0.001296537107903
-1.36565 0.102782346176561 0.103674743080755 0.000892396904194
-1.32607 0.115095685274266 0.113069816198790 0.002025869075476
-1.28649 0.122427785263906 0.122677456731747 0.000249671467841
-1.24690 0.129806831255747 0.132486076015376 0.002679244759628
-1.20732 0.143206449640558 0.142484863145359 0.000721586495199
-1.16773 0.150967320021061 0.152663687688795 0.001696367667734
-1.12815 0.165052433507184 0.163013018323177 0.002039415184008
-1.08856 0.173105269273053 0.173523854134912 0.000418584861859
-1.04898 0.181175084715413 0.184187666094526 0.003012581379113
-1.00940 0.196158314418230 0.194996346796845 0.001161967621385
-0.96981 0.204551506215046 0.205942166975961 0.001390660760915
-0.93023 0.220111330384834 0.217017737619988 0.003093592764846
-0.89064 0.228687733839328 0.228215976750102 0.000471757089226
-0.85106 0.237352291439576 0.239530080111346 0.002177788671770
-0.81148 0.253588850881210 0.250953495164889 0.002635355716321
-0.77189 0.262443636188525 0.262479897882571 0.000036261694046
-0.73231 0.271333922489448 0.274103171932183 0.002769249442735
-0.69272 0.288167701451976 0.285817389911915 0.002350311540061
-0.65314 0.297247055175732 0.297616796348315 0.000369741172583
-0.61355 0.306328954674559 0.309495792217372 0.003166837542813
-0.57397 0.323668858258954 0.321448920785109 0.002219937473845
-0.53439 0.332928173066339 0.333470854594163 0.000542681527825
-0.49480 0.342172081438262 0.345556383447464 0.003384302009202
-0.45522 0.359922574346430 0.357700403260652 0.002222171085777
-0.41563 0.369322118919889 0.369897905671684 0.000575786751795
-0.37605 0.378699316820480 0.382143968310215 0.003444651489735
-0.33647 0.396764935904046 0.394433745641064 0.002331190262981
-0.29688 0.406267207878447 0.406762460305896 0.000495252427449
-0.25730 0.415748118059321 0.419125394895370 0.003377276836049
-0.21771 0.434035718686278 0.431517884091047 0.002517834595231
-0.17813 0.443604133338123 0.443935307121657 0.000331173783535
-0.13854 0.453157597752025 0.456373080483527 0.003215482731502
-0.09896 0.471576899057772 0.468826650878371 0.002750248179401
-0.05938 0.481175386119026 0.481291488325034 0.000116102206008
-0.01979 0.490768535679471 0.493763079404064 0.002994543724594
0.01979 0.509231464320530 0.506236920595941 0.002994543724588
0.05938 0.518824613880973 0.518708511674971 0.000116102206002
0.09896 0.528423100942228 0.531173349121630 0.002750248179402
0.13854 0.546842402247976 0.543626919516474 0.003215482731502
0.17813 0.556395866661878 0.556064692878344 0.000331173783534
0.21771 0.565964281313721 0.568482115908954 0.002517834595232
0.25730 0.584251881940678 0.580874605104626 0.003377276836052
0.29688 0.593732792121555 0.593237539694106 0.000495252427449
0.33647 0.603235064095954 0.605566254358937 0.002331190262983
0.37605 0.621300683179520 0.617856031689787 0.003444651489733
0.41563 0.630677881080111 0.630102094328322 0.000575786751789
0.45522 0.640077425653570 0.642299596739349 0.002222171085779
0.49480 0.657827918561737 0.654443616552537 0.003384302009199
0.53439 0.667071826933662 0.666529145405836 0.000542681527826
0.57397 0.676331141741046 0.678551079214897 0.002219937473851
0.61355 0.693671045325442 0.690504207782634 0.003166837542807
0.65314 0.702752944824268 0.702383203651689 0.000369741172580
0.69272 0.711832298548023 0.714182610088084 0.002350311540060
0.73231 0.728666077510552 0.725896828067816 0.002769249442736
