# mu2 n0_GS n_exact n_diff
-1.99900 0.000006791775044 0.000006916694511 0.000000124919467
-1.95942 0.001719135398364 0.001781221994849 0.000062086596485
-1.91983 0.004755014255503 0.004925729322154 0.000170715066651
-1.88025 0.008954206417191 0.008957249511092 0.000003043093901
-1.84066 0.013628149249808 0.013693079065938 0.000064929816130
-1.80108 0.018995498144610 0.019025045775395 0.000029547630784
-1.76150 0.024958632541581 0.024878672261752 0.000079960279829
-1.72191 0.031319722190583 0.031198265415396 0.000121456775187
-1.68233 0.037963541530518 0.037939919284301 0.000023622246218
-1.64274 0.045206741240112 0.045067719990587 0.000139021249525
-1.60316 0.052759326053138 0.052551478968395 0.000207847084742
-1.56357 0.060642171598880 0.060365281612294 0.000276889986585
-1.52399 0.068662109552993 0.068486507709559 0.000175601843434
-1.48441 0.077077440925317 0.076895142293646 0.000182298631671
-1.44482 0.085860864111193 0.085573274269360 0.000287589841833
-1.40524 0.094822795605568 0.094504721384601 0.000318074220967
-1.36565 0.104063362387433 0.103674743080755 0.000388619306678
-1.32607 0.113372037617051 0.113069816198790 0.000302221418260
-1.28649 0.122891113346896 0.122677456731747 0.000213656615149
-1.24690 0.132824924770155 0.132486076015376 0.000338848754779
-1.20732 0.142863977059288 0.142484863145359 0.000379113913929
-1.16773 0.153039661369201 0.152663687688795 0.000375973680406
-1.12815 0.163446818904676 0.163013018323177 0.000433800581500
-1.08856 0.173866285867161 0.173523854134912 0.000342431732248
-1.04898 0.184426741718304 0.184187666094526 0.000239075623778
-1.00940 0.195318581812523 0.194996346796845 0.000322235015678
-0.96981 0.206350796785803 0.205942166975961 0.000408629809842
-0.93023 0.217396811987872 0.217017737619988 0.000379074367884
-0.89064 0.228564770195394 0.228215976750102 0.000348793445292
-0.85106 0.239913999475766 0.239530080111346 0.000383919364421
-0.81148 0.251228089725110 0.250953495164889 0.000274594560221
-0.77189 0.262675908009283 0.262479897882571 0.000196010126712
-0.73231 0.274411820014179 0.274103171932183 0.000308648081996
-0.69272 0.286189522380667 0.285817389911915 0.000372132468752
-0.65314 0.297935629340894 0.297616796348315 0.000318832992579
-0.61355 0.309763111779866 0.309495792217372 0.000267319562494
-0.57397 0.321757355348854 0.321448920785109 0.000308434563745
-0.53439 0.333677744747569 0.333470854594163 0.000206890153406
-0.49480 0.345666652118041 0.345556383447464 0.000110268670577
-0.45522 0.357873056574585 0.357700403260652 0.000172653313932
-0.41563 0.370182704048439 0.369897905671684 0.000284798376755
-0.37605 0.382382000670964 0.382143968310215 0.000238032360749
-0.33647 0.394595425718751 0.394433745641064 0.000161680077687
-0.29688 0.406970419043546 0.406762460305896 0.000207958737650
-0.25730 0.419252853043616 0.419125394895370 0.000127458148245
-0.21771 0.431540076937072 0.431517884091047 0.000022192846025
-0.17813 0.443920613214315 0.443935307121657 0.000014693907342
-0.13854 0.456490169759547 0.456373080483527 0.000117089276020
-0.09896 0.468975702751740 0.468826650878371 0.000149051873369
-0.05938 0.481352665975985 0.481291488325034 0.000061177650951
-0.01979 0.493741319424871 0.493763079404064 0.000021759979193
0.01979 0.506258680575128 0.506236920595941 0.000021759979187
0.05938 0.518647334024015 0.518708511674971 0.000061177650957
0.09896 0.531024297248260 0.531173349121630 0.000149051873370
0.13854 0.543509830240453 0.543626919516474 0.000117089276021
0.17813 0.556079386785685 0.556064692878344 0.000014693907342
0.21771 0.568459923062928 0.568482115908954 0.000022192846025
0.25730 0.580747146956385 0.580874605104626 0.000127458148242
0.29688 0.593029580956454 0.593237539694106 0.000207958737652
0.33647 0.605404574281249 0.605566254358937 0.000161680077688
0.37605 0.617617999329036 0.617856031689787 0.000238032360751
0.41563 0.629817295951561 0.630102094328322 0.000284798376761
0.45522 0.642126943425416 0.642299596739349 0.000172653313933
0.49480 0.654333347881959 0.654443616552537 0.000110268670578
0.53439 0.666322255252430 0.666529145405836 0.000206890153405
0.57397 0.678242644651146 0.678551079214897 0.000308434563751
0.61355 0.690236888220135 0.690504207782634 0.000267319562499
0.65314 0.702064370659107 0.702383203651689 0.000318832992582
0.69272 0.713810477619331 0.714182610088084 0.000372132468753
0.73231 0.725588179985820 0.725896828067816 0.000308648081996
0.77189 0.737324091990716 0.737520102117432 0.000196010126716
0.81148 0.748771910274891 0.749046504835112 0.000274594560221
0.85106 0.760086000524234 0.760469919888660 0.000383919364426
0.89064 0.771435229804606 0.771784023249901 0.000348793445295
0.93023 0.782603188012130 0.782982262380016 0.000379074367886
0.96981 0.793649203214197 0.794057833024042 0.000408629809846
1.00940 0.804681418187477 0.805003653203158 0.000322235015681
1.04898 0.815573258281696 0.815812333905480 0.000239075623783
1.08856 0.826133714132841 0.826476145865091 0.000342431732250
1.12815 0.836553181095322 0.836986981676825 0.000433800581502
1.16773 0.846960338630798 0.847336312311213 0.000375973680415
1.20732 0.857136022940712 0.857515136854640 0.000379113913928
1.24690 0.867175075229845 0.867513923984635 0.000338848754790
1.28649 0.877108886653104 0.877322543268254 0.000213656615150
1.32607 0.886627962382950 0.886930183801213 0.000302221418263
1.36565 0.895936637612567 0.896325256919246 0.000388619306679
1.40524 0.905177204394432 0.905495278615400 0.000318074220968
1.44482 0.914139135888807 0.914426725730641 0.000287589841834
1.48441 0.922922559074683 0.923104857706350 0.000182298631667
1.52399 0.931337890447006 0.931513492290442 0.000175601843436
1.56357 0.939357828401121 0.939634718387700 0.000276889986579
1.60316 0.947240673946863 0.947448521031608 0.000207847084745
1.64274 0.954793258759888 0.954932280009413 0.000139021249525
1.68233 0.962036458469481 0.962060080715699 0.000023622246218
1.72191 0.968680277809417 0.968801734584606 0.000121456775189
1.76150 0.975041367458418 0.975121327738249 0.000079960279831
1.80108 0.981004501855390 0.980974954224602 0.000029547630788
1.84066 0.986371850750193 0.986306920934060 0.000064929816133
1.88025 0.991045793582809 0.991042750488906 0.000003043093903
1.91983 0.995244985744497 0.995074270677845 0.000170715066653
1.95942 0.998280864601635 0.998218778005157 0.000062086596479
1.99900 0.999993208224956 0.999993083305493 0.000000124919463
