# mu2 e0_GS e_exact e_diff
-1.99900 -0.000002038356044 -0.000002751983831 0.000000713627787
-1.95942 -0.000640044352783 -0.000700292823301 0.000060248470518
-1.91983 -0.001844098671336 -0.001913338587157 0.000069239915821
-1.88025 -0.003388382026469 -0.003437159922378 0.000048777895909
-1.84066 -0.005176334330417 -0.005190065582267 0.000013731251851
-1.80108 -0.007107833311321 -0.007121733365633 0.000013900054312
-1.76150 -0.009204549370260 -0.009196355655081 0.000008193715179
-1.72191 -0.011423016284684 -0.011386401654370 0.000036614630315
-1.68233 -0.013721312860798 -0.013669652434794 0.000051660426005
-1.64274 -0.016083538871330 -0.016027572597184 0.000055966274146
-1.60316 -0.018519580719117 -0.018444325667931 0.000075255051186
-1.56357 -0.020999651217752 -0.020906136006836 0.000093515210916
-1.52399 -0.023505094030177 -0.023400852971497 0.000104241058680
-1.48441 -0.026035064412125 -0.025917640681869 0.000117423730256
-1.44482 -0.028565869712444 -0.028446749705148 0.000119120007296
-1.40524 -0.031111878648162 -0.030979344347968 0.000132534300194
-1.36565 -0.033652894494072 -0.033507368967552 0.000145525526519
-1.32607 -0.036175608878851 -0.036023442439924 0.000152166438927
-1.28649 -0.038676818715462 -0.038520773440740 0.000156045274722
-1.24690 -0.041159512141463 -0.040993091433639 0.000166420707823
-1.20732 -0.043600372756498 -0.043434589731488 0.000165783025010
-1.16773 -0.046014979346275 -0.045839877987840 0.000175101358436
-1.12815 -0.048387373781222 -0.048203942161083 0.000183431620139
-1.08856 -0.050707427018125 -0.050522110477082 0.000185316541043
-1.04898 -0.052975755270506 -0.052790024263521 0.000185731006985
-1.00940 -0.055198158029236 -0.055003612783106 0.000194545246130
-0.96981 -0.057352883701833 -0.057159071381286 0.000193812320547
-0.93023 -0.059447098547026 -0.059252842406023 0.000194256141003
-0.89064 -0.061483200708848 -0.061281598465268 0.000201602243580
-0.85106 -0.063446362677760 -0.063242227671239 0.000204135006521
-0.81148 -0.065334630440894 -0.065131820585528 0.000202809855366
-0.77189 -0.067149807813723 -0.066947658630339 0.000202149183384
-0.73231 -0.068895920830739 -0.068687203771726 0.000208717059012
-0.69272 -0.070555477344372 -0.070348089313406 0.000207388030966
-0.65314 -0.072133861468030 -0.071928111665984 0.000205749802046
-0.61355 -0.073634085494213 -0.073425222977924 0.000208862516289
-0.57397 -0.075049176654457 -0.074837524532211 0.000211652122247
-0.53439 -0.076373481276396 -0.076163260827161 0.000210220449236
-0.49480 -0.077609199060558 -0.077400814271995 0.000208384788563
-0.45522 -0.078759619907731 -0.078548700437851 0.000210919469880
-0.41563 -0.079818083538479 -0.079605563813557 0.000212519724922
-0.37605 -0.080780519104530 -0.080570174022651 0.000210345081879
-0.33647 -0.081651613989444 -0.081441422464405 0.000210191525039
-0.29688 -0.082430434475556 -0.082218319346935 0.000212115128622
-0.25730 -0.083112280262042 -0.082899991085096 0.000212289176946
-0.21771 -0.083696801630582 -0.083485678039953 0.000211123590629
-0.17813 -0.084185359244980 -0.083974732580167 0.000210626664813
-0.13854 -0.084578645704342 -0.084366617448847 0.000212028255495
-0.09896 -0.084872679250796 -0.084660904422287 0.000211774828509
-0.05938 -0.085068610233784 -0.084857273249611 0.000211336984173
-0.01979 -0.085166958631031 -0.084955510864797 0.000211447766234
0.01979 -0.085166958631031 -0.084955510864797 0.000211447766234
0.05938 -0.085068610233784 -0.084857273249611 0.000211336984173
0.09896 -0.084872679250796 -0.084660904422287 0.000211774828509
0.13854 -0.084578645704342 -0.084366617448847 0.000212028255495
0.17813 -0.084185359244980 -0.083974732580167 0.000210626664813
0.21771 -0.083696801630582 -0.083485678039953 0.000211123590629
0.25730 -0.083112280262042 -0.082899991085096 0.000212289176946
0.29688 -0.082430434475556 -0.082218319346935 0.000212115128622
0.33647 -0.081651613989444 -0.081441422464405 0.000210191525039
0.37605 -0.080780519104530 -0.080570174022651 0.000210345081879
0.41563 -0.079818083538479 -0.079605563813557 0.000212519724922
0.45522 -0.078759619907731 -0.078548700437851 0.000210919469880
0.49480 -0.077609199060558 -0.077400814271995 0.000208384788563
0.53439 -0.076373481276396 -0.076163260827161 0.000210220449236
0.57397 -0.075049176654457 -0.074837524532211 0.000211652122247
0.61355 -0.073634085494213 -0.073425222977924 0.000208862516289
0.65314 -0.072133861468030 -0.071928111665984 0.000205749802046
0.69272 -0.070555477344372 -0.070348089313406 0.000207388030966
0.73231 -0.068895920830739 -0.068687203771726 0.000208717059013
0.77189 -0.067149807813723 -0.066947658630339 0.000202149183384
0.81148 -0.065334630440894 -0.065131820585528 0.000202809855366
0.85106 -0.063446362677760 -0.063242227671239 0.000204135006521
0.89064 -0.061483200708848 -0.061281598465268 0.000201602243580
0.93023 -0.059447098547026 -0.059252842406023 0.000194256141003
0.96981 -0.057352883701833 -0.057159071381286 0.000193812320547
1.00940 -0.055198158029236 -0.055003612783106 0.000194545246130
1.04898 -0.052975755270505 -0.052790024263521 0.000185731006985
1.08856 -0.050707427018125 -0.050522110477082 0.000185316541043
1.12815 -0.048387373781222 -0.048203942161083 0.000183431620139
1.16773 -0.046014979346275 -0.045839877987840 0.000175101358436
1.20732 -0.043600372756499 -0.043434589731488 0.000165783025011
1.24690 -0.041159512141463 -0.040993091433639 0.000166420707823
1.28649 -0.038676818715462 -0.038520773440740 0.000156045274722
1.32607 -0.036175608878851 -0.036023442439924 0.000152166438927
1.36565 -0.033652894494072 -0.033507368967552 0.000145525526519
1.40524 -0.031111878648162 -0.030979344347969 0.000132534300194
1.44482 -0.028565869712444 -0.028446749705148 0.000119120007296
1.48441 -0.026035064412125 -0.025917640681870 0.000117423730255
1.52399 -0.023505094030177 -0.023400852971497 0.000104241058680
1.56357 -0.020999651217752 -0.020906136006836 0.000093515210916
1.60316 -0.018519580719117 -0.018444325667931 0.000075255051186
1.64274 -0.016083538871330 -0.016027572597184 0.000055966274146
1.68233 -0.013721312860798 -0.013669652434794 0.000051660426005
1.72191 -0.011423016284684 -0.011386401654370 0.000036614630315
1.76150 -0.009204549370260 -0.009196355655081 0.000008193715179
1.80108 -0.007107833311321 -0.007121733365633 0.000013900054312
1.84066 -0.005176334330417 -0.005190065582267 0.000013731251850
1.88025 -0.003388382026469 -0.003437159922378 0.000048777895909
1.91983 -0.001844098671336 -0.001913338587157 0.000069239915821
1.95942 -0.000640044352783 -0.000700292823301 0.000060248470518
1.99900 -0.000002038356044 -0.000002751983831 0.000000713627787
