# mu2 e0_GS e_exact e_diff
-1.99900 -0.000001444369728 -0.000003994343990 0.000002549974262
-1.95942 -0.001009939796130 -0.001015389718277 0.000005449922147
-1.91983 -0.002766740597304 -0.002771463182775 0.000004722585472
-1.88025 -0.004969451623531 -0.004973839866563 0.000004388243032
-1.84066 -0.007518939560774 -0.007503262591246 0.000015676969529
-1.80108 -0.010288110257613 -0.010286286178962 0.000001824078651
-1.76150 -0.013269105282468 -0.013270720105654 0.000001614823185
-1.72191 -0.016423626527958 -0.016416524114576 0.000007102413382
-1.68233 -0.019700835140549 -0.019691472809513 0.000009362331036
-1.64274 -0.023064028527865 -0.023068770086607 0.000004741558743
-1.60316 -0.026521383345544 -0.026525603735484 0.000004220389940
-1.56357 -0.030043925256527 -0.030042206740720 0.000001718515807
-1.52399 -0.033592266690941 -0.033601214723884 0.000008948032943
-1.48441 -0.037191786117837 -0.037187207538111 0.000004578579726
-1.44482 -0.040786462952925 -0.040786371144726 0.000000091808199
-1.40524 -0.044391796118604 -0.044386241259512 0.000005554859092
-1.36565 -0.047991530234131 -0.047975504465363 0.000016025768768
-1.32607 -0.051560481362368 -0.051543840861460 0.000016640500908
-1.28649 -0.055107571973273 -0.055081797466057 0.000025774507215
-1.24690 -0.058627263708986 -0.058580684869374 0.000046578839612
-1.20732 -0.062049398391903 -0.062032491788156 0.000016906603747
-1.16773 -0.065436588719748 -0.065429813628426 0.000006775091322
-1.12815 -0.068783141605938 -0.068765792168798 0.000017349437139
-1.08856 -0.072062069240014 -0.072034064186886 0.000028005053128
-1.04898 -0.075283925664811 -0.075228717362229 0.000055208302582
-1.00940 -0.078360647684635 -0.078344252163028 0.000016395521607
-0.96981 -0.081397317302117 -0.081375548701715 0.000021768600402
-0.93023 -0.084352995100991 -0.084317837753629 0.000035157347363
-0.89064 -0.087189856490227 -0.087166675292760 0.000023181197468
-0.85106 -0.089930439364063 -0.089917920021797 0.000012519342266
-0.81148 -0.092593967265442 -0.092567713469881 0.000026253795560
-0.77189 -0.095139345336884 -0.095112462307336 0.000026883029547
-0.73231 -0.097555884591330 -0.097548822586916 0.000007062004414
-0.69272 -0.099897002864333 -0.099873685669598 0.000023317194735
-0.65314 -0.102111926862051 -0.102084165632053 0.000027761229999
-0.61355 -0.104183898088035 -0.104177587984924 0.000006310103111
-0.57397 -0.106174406144196 -0.106151479557292 0.000022926586905
-0.53439 -0.108031064414120 -0.108003559424378 0.000027504989742
-0.49480 -0.109740769528822 -0.109731730773712 0.000009038755110
-0.45522 -0.111357567763120 -0.111334073620093 0.000023494143027
-0.41563 -0.112835688425982 -0.112808838292561 0.000026850133421
-0.37605 -0.114167945261832 -0.114154439627460 0.000013505634372
-0.33647 -0.115393819862472 -0.115369451811036 0.000024368051435
-0.29688 -0.116478612539204 -0.116452603823039 0.000026008716166
-0.25730 -0.117420938469009 -0.117402775439855 0.000018163029154
-0.21771 -0.118244115625277 -0.118218993761756 0.000025121863521
-0.17813 -0.118925597975727 -0.118900430234342 0.000025167741385
-0.13854 -0.119468341500433 -0.119446398139055 0.000021943361377
-0.09896 -0.119881623990620 -0.119856350532043 0.000025273458577
-0.05938 -0.120154501516573 -0.120129878614600 0.000024622901973
-0.01979 -0.120291034354547 -0.120266710522152 0.000024323832395
0.01979 -0.120291034354547 -0.120266710522152 0.000024323832395
0.05938 -0.120154501516573 -0.120129878614600 0.000024622901973
0.09896 -0.119881623990620 -0.119856350532043 0.000025273458577
0.13854 -0.119468341500433 -0.119446398139055 0.000021943361377
0.17813 -0.118925597975727 -0.118900430234342 0.000025167741385
0.21771 -0.118244115625277 -0.118218993761756 0.000025121863521
0.25730 -0.117420938469009 -0.117402775439855 0.000018163029154
0.29688 -0.116478612539205 -0.116452603823039 0.000026008716166
0.33647 -0.115393819862472 -0.115369451811036 0.000024368051435
0.37605 -0.114167945261832 -0.114154439627460 0.000013505634372
0.41563 -0.112835688425982 -0.112808838292561 0.000026850133421
0.45522 -0.111357567763120 -0.111334073620093 0.000023494143027
0.49480 -0.109740769528822 -0.109731730773712 0.000009038755110
0.53439 -0.108031064414120 -0.108003559424378 0.000027504989742
0.57397 -0.106174406144196 -0.106151479557292 0.000022926586905
0.61355 -0.104183898088035 -0.104177587984924 0.000006310103111
0.65314 -0.102111926862051 -0.102084165632053 0.000027761229999
0.69272 -0.099897002864333 -0.099873685669598 0.000023317194735
0.73231 -0.097555884591330 -0.097548822586916 0.000007062004414
0.77189 -0.095139345336884 -0.095112462307336 0.000026883029548
0.81148 -0.092593967265442 -0.092567713469882 0.000026253795560
0.85106 -0.089930439364063 -0.089917920021797 0.000012519342266
0.89064 -0.087189856490227 -0.087166675292760 0.000023181197468
0.93023 -0.084352995100991 -0.084317837753629 0.000035157347363
0.96981 -0.081397317302117 -0.081375548701715 0.000021768600402
1.00940 -0.078360647684635 -0.078344252163028 0.000016395521607
1.04898 -0.075283925664811 -0.075228717362229 0.000055208302582
1.08856 -0.072062069240014 -0.072034064186886 0.000028005053128
1.12815 -0.068783141605938 -0.068765792168799 0.000017349437139
1.16773 -0.065436588719747 -0.065429813628426 0.000006775091321
1.20732 -0.062049398391903 -0.062032491788156 0.000016906603747
1.24690 -0.058627263708986 -0.058580684869374 0.000046578839612
1.28649 -0.055107571973273 -0.055081797466057 0.000025774507216
1.32607 -0.051560481362368 -0.051543840861460 0.000016640500908
1.36565 -0.047991530234131 -0.047975504465363 0.000016025768768
1.40524 -0.044391796118603 -0.044386241259512 0.000005554859092
1.44482 -0.040786462952925 -0.040786371144726 0.000000091808199
1.48441 -0.037191786117837 -0.037187207538111 0.000004578579726
1.52399 -0.033592266690941 -0.033601214723884 0.000008948032943
1.56357 -0.030043925256527 -0.030042206740720 0.000001718515808
1.60316 -0.026521383345544 -0.026525603735484 0.000004220389940
