# mu2 n0_GS n_exact n_diff
-1.99900 0.000002579727420 0.000007134897543 0.000004555170124
-1.95942 0.001826099844591 0.001835522121356 0.000009422276765
-1.91983 0.005063035093462 0.005070761716828 0.000007726623366
-1.88025 0.009205014172924 0.009211852284192 0.000006838111269
-1.84066 0.014100807325112 0.014068619388476 0.000032187936636
-1.80108 0.019533714381086 0.019528211862181 0.000005502518905
-1.76150 0.025511343466220 0.025512827834654 0.000001484368433
-1.72191 0.031980446059711 0.031964256522778 0.000016189536934
-1.68233 0.038857480457603 0.038836613310960 0.000020867146644
-1.64274 0.046082367788720 0.046092393344808 0.000010025556088
-1.60316 0.053690097247935 0.053700110620697 0.000010013372762
-1.56357 0.061635001495150 0.061632783853035 0.000002217642115
-1.52399 0.069842921220078 0.069866912788823 0.000023991568745
-1.48441 0.078388247737177 0.078381756759946 0.000006490977231
-1.44482 0.087152782369069 0.087158808866351 0.000006026497281
-1.40524 0.096187334584285 0.096181401946564 0.000005932637720
-1.36565 0.105465997193048 0.105434406320714 0.000031590872334
-1.32607 0.114936093262469 0.114903993255264 0.000032100007205
-1.28649 0.124633754357594 0.124577446634692 0.000056307722902
-1.24690 0.134558285812535 0.134443010734119 0.000115275078416
-1.20732 0.144518674972449 0.144489765521422 0.000028909451027
-1.16773 0.154703802893234 0.154707523290800 0.000003720397566
-1.12815 0.165113636868454 0.165086742061089 0.000026894807365
-1.08856 0.175678516342873 0.175618452317792 0.000060064025081
-1.04898 0.186446108019937 0.186294194497163 0.000151913522774
-1.00940 0.197123565819912 0.197105965207027 0.000017600612885
-0.96981 0.208081103325750 0.208046170619380 0.000034932706370
-0.93023 0.219192090415388 0.219107585799778 0.000084504615610
-0.89064 0.230320346471248 0.230283318988760 0.000037027482488
-0.85106 0.241557280315569 0.241566780042557 0.000009499726988
-0.81148 0.252998580857734 0.252951652389198 0.000046928468536
-0.77189 0.264480639309650 0.264431867972826 0.000048771336823
-0.73231 0.275952546656097 0.276001584751033 0.000049038094936
-0.69272 0.287683366756764 0.287655166383478 0.000028200373285
-0.65314 0.299437659914781 0.299387163808974 0.000050496105807
-0.61355 0.311117170834364 0.311192298455802 0.000075127621438
-0.57397 0.323084578687963 0.323065446868781 0.000019131819181
-0.53439 0.335048863336122 0.335001626568340 0.000047236767782
-0.49480 0.346909466649461 0.346995982982858 0.000086516333397
-0.45522 0.359059025553069 0.359043777317199 0.000015248235869
-0.41563 0.371181853653069 0.371140375238117 0.000041478414952
-0.37605 0.383195852773848 0.383281236272272 0.000085383498424
-0.33647 0.395477486065837 0.395461903824817 0.000015582241020
-0.29688 0.407711239590624 0.407677995737142 0.000033243853482
-0.25730 0.419849824349362 0.419925195310808 0.000075370961445
-0.21771 0.432219827360261 0.432199242732201 0.000020584628060
-0.17813 0.444517827951187 0.444495926838254 0.000021901112933
-0.13854 0.456750587931122 0.456811077168757 0.000060489237636
-0.09896 0.469171057626671 0.469140556254759 0.000030501371912
-0.05938 0.481487947514365 0.481480252095926 0.000007695418440
-0.01979 0.493781572076164 0.493826070782280 0.000044498706116
0.01979 0.506218427923837 0.506173929217721 0.000044498706115
0.05938 0.518512052485635 0.518519747904075 0.000007695418440
0.09896 0.530828942373328 0.530859443745242 0.000030501371913
0.13854 0.543249412068877 0.543188922831244 0.000060489237633
0.17813 0.555482172048812 0.555504073161747 0.000021901112935
0.21771 0.567780172639740 0.567800757267798 0.000020584628057
0.25730 0.580150175650638 0.580074804689191 0.000075370961446
0.29688 0.592288760409376 0.592322004262857 0.000033243853481
0.33647 0.604522513934162 0.604538096175182 0.000015582241020
0.37605 0.616804147226153 0.616718763727731 0.000085383498421
0.41563 0.628818146346932 0.628859624761884 0.000041478414952
0.45522 0.640940974446931 0.640956222682802 0.000015248235871
0.49480 0.653090533350540 0.653004017017141 0.000086516333399
