# mu2 n0_GS n_exact n_diff
-1.99900 0.000001256377001 0.000007134897543 0.000005878520542
-1.95942 0.001805136954792 0.001835522121356 0.000030385166564
-1.91983 0.005047789948647 0.005070761716828 0.000022971768181
-1.88025 0.009196804238633 0.009211852284192 0.000015048045560
-1.84066 0.014062090055422 0.014068619388476 0.000006529333054
-1.80108 0.019529882011884 0.019528211862181 0.000001670149703
-1.76150 0.025523078114379 0.025512827834654 0.000010250279726
-1.72191 0.031983400824445 0.031964256522778 0.000019144301667
-1.68233 0.038862852944969 0.038836613310960 0.000026239634009
-1.64274 0.046126275980747 0.046092393344808 0.000033882635939
-1.60316 0.053740178596373 0.053700110620697 0.000040067975676
-1.56357 0.061678951581586 0.061632783853035 0.000046167728551
-1.52399 0.069918333386735 0.069866912788823 0.000051420597912
-1.48441 0.078438131003548 0.078381756759946 0.000056374243602
-1.44482 0.087219309838072 0.087158808866351 0.000060500971721
-1.40524 0.096245519462523 0.096181401946564 0.000064117515958
-1.36565 0.105501634387923 0.105434406320714 0.000067228067209
-1.32607 0.114974025594776 0.114903993255264 0.000070032339512
-1.28649 0.124649337923095 0.124577446634692 0.000071891288403
-1.24690 0.134517526723394 0.134443010734119 0.000074515989274
-1.20732 0.144565859757057 0.144489765521422 0.000076094235635
-1.16773 0.154784600078587 0.154707523290800 0.000077076787787
-1.12815 0.165163992439469 0.165086742061089 0.000077250378380
-1.08856 0.175695820456597 0.175618452317792 0.000077368138805
-1.04898 0.186372308299610 0.186294194497163 0.000078113802447
-1.00940 0.197183448180579 0.197105965207027 0.000077482973552
-0.96981 0.208122520640049 0.208046170619380 0.000076350020669
-0.93023 0.219183426504458 0.219107585799778 0.000075840704680
-0.89064 0.230358307898280 0.230283318988760 0.000074988909519
-0.85106 0.241639691424229 0.241566780042557 0.000072911381672
-0.81148 0.253022683635387 0.252951652389198 0.000071031246189
-0.77189 0.264501416633450 0.264431867972826 0.000069548660624
-0.73231 0.276068629365188 0.276001584751033 0.000067044614155
-0.69272 0.287719321832161 0.287655166383478 0.000064155448683
-0.65314 0.299449293404068 0.299387163808974 0.000062129595094
