# mu2 n0_GS n_exact n_diff
-1.99900 0.000016417360820 0.000007134897543 0.000009282463276
-1.95942 0.000289487318020 0.001835522121356 0.001546034803336
-1.91983 0.001893491649380 0.005070761716828 0.003177270067448
-1.88025 0.005818493363712 0.009211852284192 0.003393358920480
-1.84066 0.011519436814901 0.014068619388476 0.002549182573575
-1.80108 0.018405561470430 0.019528211862181 0.001122650391751
-1.76150 0.025879463418959 0.025512827834654 0.000366635584306
-1.72191 0.033621315685493 0.031964256522778 0.001657059162715
-1.68233 0.041466550858814 0.038836613310960 0.002629937547854
-1.64274 0.049348717180129 0.046092393344808 0.003256323835321
-1.60316 0.057351169180420 0.053700110620697 0.003651058559723
-1.56357 0.065448104088393 0.061632783853035 0.003815320235358
-1.52399 0.073625197407888 0.069866912788823 0.003758284619065
-1.48441 0.082075624964952 0.078381756759946 0.003693868205006
-1.44482 0.090879347118566 0.087158808866351 0.003720538252215
-1.40524 0.099944199744311 0.096181401946564 0.003762797797746
-1.36565 0.109207789048746 0.105434406320714 0.003773382728032
-1.32607 0.118706917462734 0.114903993255264 0.003802924207471
-1.28649 0.128482442804573 0.124577446634692 0.003904996169881
-1.24690 0.138532011373750 0.134443010734119 0.004089000639630
-1.20732 0.148772852882297 0.144489765521422 0.004283087360875
-1.16773 0.159146343267621 0.154707523290800 0.004438819976820
-1.12815 0.169628049869474 0.165086742061089 0.004541307808385
-1.08856 0.180228806397039 0.175618452317792 0.004610354079247
-1.04898 0.190971181023899 0.186294194497163 0.004676986526736
-1.00940 0.201808471373438 0.197105965207027 0.004702506166411
-0.96981 0.212684170560440 0.208046170619380 0.004637999941060
-0.93023 0.223618585909338 0.219107585799778 0.004511000109560
-0.89064 0.234655333379254 0.230283318988760 0.004372014390494
-0.85106 0.245830262420512 0.241566780042557 0.004263482377955
-0.81148 0.257151737979138 0.252951652389198 0.004200085589940
-0.77189 0.268584259454903 0.264431867972826 0.004152391482077
-0.73231 0.280065547801212 0.276001584751033 0.004063963050180
-0.69272 0.291554961114937 0.287655166383478 0.003899794731459
-0.65314 0.303061543415752 0.299387163808974 0.003674379606778
-0.61355 0.314595086497924 0.311192298455802 0.003402788042122
-0.57397 0.326189897337978 0.323065446868781 0.003124450469196
-0.53439 0.337878839358041 0.335001626568340 0.002877212789701
-0.49480 0.349672833908124 0.346995982982858 0.002676850925266
-0.45522 0.361567351203242 0.359043777317199 0.002523573886043
-0.41563 0.373550952242650 0.371140375238117 0.002410577004533
-0.37605 0.385602912160365 0.383281236272272 0.002321675888093
-0.33647 0.397668998664855 0.395461903824817 0.002207094840038
-0.29688 0.409685786487810 0.407677995737142 0.002007790750668
-0.25730 0.421641690869501 0.419925195310808 0.001716495558693
-0.21771 0.433566162792573 0.432199242732201 0.001366920060372
-0.17813 0.445496798540093 0.444495926838254 0.001000871701839
-0.13854 0.457470030549454 0.456811077168757 0.000658953380696
-0.09896 0.469516510524885 0.469140556254759 0.000375954270126
-0.05938 0.481652542831669 0.481480252095926 0.000172290735744
-0.01979 0.493870517581663 0.493826070782280 0.000044446799383
0.01979 0.506129482418337 0.506173929217721 0.000044446799385
0.05938 0.518347457168331 0.518519747904075 0.000172290735744
0.09896 0.530483489475114 0.530859443745242 0.000375954270127
0.13854 0.542529969450545 0.543188922831244 0.000658953380698
0.17813 0.554503201459907 0.555504073161747 0.001000871701841
0.21771 0.566433837207427 0.567800757267798 0.001366920060370
0.25730 0.578358309130498 0.580074804689191 0.001716495558693
0.29688 0.590314213512189 0.592322004262857 0.002007790750668
0.33647 0.602331001335145 0.604538096175182 0.002207094840037
0.37605 0.614397087839633 0.616718763727731 0.002321675888098
0.41563 0.626449047757350 0.628859624761884 0.002410577004535
0.45522 0.638432648796758 0.640956222682802 0.002523573886044
0.49480 0.650327166091875 0.653004017017141 0.002676850925266
0.53439 0.662121160641958 0.664998373431658 0.002877212789700
0.57397 0.673810102662022 0.676934553131220 0.003124450469197
0.61355 0.685404913502076 0.688807701544198 0.003402788042122
0.65314 0.696938456584248 0.700612836191026 0.003674379606778
0.69272 0.708445038885062 0.712344833616522 0.003899794731459
0.73231 0.719934452198787 0.723998415248965 0.004063963050178
0.77189 0.731415740545097 0.735568132027175 0.004152391482078
