# param.mu, -tC, rho1, E_exact*2/z, rho_exact

-3.464091615137754e+00 -9.650258950440311e-04 5.538950503117985e-04 -1.529658047128071e-08 8.831500149087381e-09
-3.364091615137754e+00 -1.187253626408265e-02 6.986057624171275e-03 -1.360085967300339e-02 7.988234669206600e-03
-3.264091615137754e+00 -3.547183259712212e-02 2.122687535320675e-02 -3.464609140809905e-02 2.069507336711002e-02
-3.164091615137754e+00 -6.051994166299516e-02 3.680202876410578e-02 -5.790132091033273e-02 3.516888740371466e-02
-3.064091615137754e+00 -8.147483736949072e-02 5.025884693886892e-02 -8.173757242686538e-02 5.047903821251043e-02
-2.964091615137754e+00 -1.064123214653666e-01 6.678191542236049e-02 -1.054110039625706e-01 6.618825361115625e-02
-2.864091615137754e+00 -1.307235242692209e-01 8.344179695144727e-02 -1.285427333935807e-01 8.206427935871331e-02
-2.764091615137754e+00 -1.516630432955671e-01 9.828380850907212e-02 -1.509311431477158e-01 9.797589214498410e-02
-2.664091615137754e+00 -1.771903891068984e-01 1.170626422935635e-01 -1.724687622877199e-01 1.138466439811892e-01
-2.564091615137754e+00 -1.952681365340737e-01 1.309126788789677e-01 -1.931009689993475e-01 1.296316949499387e-01
-2.464091615137754e+00 -2.137650420086896e-01 1.456018468583622e-01 -2.128038564837167e-01 1.453052580966937e-01
-2.364091615137754e+00 -2.329491470294582e-01 1.614539562146342e-01 -2.315717124924482e-01 1.608533967099934e-01
-2.264091615137754e+00 -2.516260108309466e-01 1.775585718788688e-01 -2.494096484627549e-01 1.762697099005185e-01
-2.164091615137754e+00 -2.685011652987082e-01 1.927675382667503e-01 -2.663291282764768e-01 1.915526597850242e-01
-2.064091615137754e+00 -2.835233531699275e-01 2.069208280704566e-01 -2.823451950706328e-01 2.067038710128787e-01
-1.964091615137754e+00 -2.970759790670245e-01 2.202619534694089e-01 -2.974747241727740e-01 2.217270259289257e-01
-1.864091615137754e+00 -3.152246570295937e-01 2.391360043551357e-01 -3.117353120236006e-01 2.366271349305327e-01
-1.764091615137754e+00 -3.273349170760674e-01 2.525108181744187e-01 -3.251445673803902e-01 2.514100487529242e-01
-1.664091615137754e+00 -3.392607978473426e-01 2.664016916885176e-01 -3.377196610817094e-01 2.660821298611211e-01
-1.564091615137754e+00 -3.510493771196052e-01 2.809630688493087e-01 -3.494770440080978e-01 2.806500302416293e-01
-1.464091615137754e+00 -3.623850457907900e-01 2.958925055685978e-01 -3.604322753399952e-01 2.951205413570738e-01
-1.364091615137754e+00 -3.727566237717330e-01 3.105260202216509e-01 -3.705999234193472e-01 3.095004936251333e-01
-1.264091615137754e+00 -3.819434594052962e-01 3.244645094411236e-01 -3.799935143437587e-01 3.237966902186470e-01
-1.164091615137754e+00 -3.900491807885358e-01 3.377276223327936e-01 -3.886255116988714e-01 3.380158648389289e-01
-1.064091615137754e+00 -3.972486178231914e-01 3.504683926453934e-01 -3.965073162568534e-01 3.521646563367155e-01
-9.640916151377543e-01 -4.066443866724548e-01 3.689256110945263e-01 -4.036492780666313e-01 3.662495952252253e-01
-8.640916151377542e-01 -4.123667282707416e-01 3.815823712562499e-01 -4.100607157748885e-01 3.802770986102297e-01
-7.640916151377541e-01 -4.176444926549197e-01 3.945880295554254e-01 -4.157499396505568e-01 3.942534710837391e-01
-6.640916151377541e-01 -4.224771587570073e-01 4.080943115362961e-01 -4.207242758995937e-01 4.081849098402023e-01
-5.640916151377540e-01 -4.267995757199156e-01 4.221163426290784e-01 -4.249900906207840e-01 4.220775127751230e-01
-4.640916151377543e-01 -4.304697736927249e-01 4.363516378243522e-01 -4.285528122790824e-01 4.359372886809517e-01
-3.640916151377542e-01 -4.333662563366690e-01 4.503181437341865e-01 -4.314169519355117e-01 4.497701689079701e-01
-2.640916151377541e-01 -4.354844628262156e-01 4.637392645920971e-01 -4.335861207225631e-01 4.635820200385078e-01
-1.640916151377541e-01 -4.368997624094756e-01 4.766321316474226e-01 -4.350630442260898e-01 4.773786572516988e-01
-6.409161513775397e-02 -4.376913021952372e-01 4.891257294197629e-01 -4.358495735530069e-01 4.911658581471399e-01
3.590838486224568e-02 -4.378099350529112e-01 5.074092236895703e-01 -4.359466929457221e-01 5.049493768588994e-01
1.359083848622458e-01 -4.371831083360378e-01 5.198119464597841e-01 -4.353545238615186e-01 5.187349583328220e-01
2.359083848622459e-01 -4.359506902549233e-01 5.325787834035094e-01 -4.340723254774012e-01 5.325283526641648e-01
3.359083848622459e-01 -4.340394431178322e-01 5.458406938744506e-01 -4.320984916157248e-01 5.463353294016670e-01
