# param.mu, -tC, rho1, E_exact*2/z, rho_exact

-2.408417124746190e+00 -1.610383978861452e-01 9.256697428999125e-02 -1.609163149980422e-01 9.250057070654975e-02
-2.398417124746190e+00 -1.645804013150000e-01 9.477747408131502e-02 -1.644552126696032e-01 9.470923390596050e-02
-2.388417124746190e+00 -1.680404533111215e-01 9.694578721452567e-02 -1.679649695331769e-01 9.690886210050301e-02
-2.378417124746190e+00 -1.714274893500931e-01 9.907705939864890e-02 -1.714457964937554e-01 9.909951220968193e-02
-2.368417124746190e+00 -1.751270700950740e-01 1.014149900391215e-01 -1.748979130790616e-01 1.012812473217078e-01
-2.358417124746190e+00 -1.784464113297504e-01 1.035217365005937e-01 -1.783215459104271e-01 1.034541358274454e-01
-2.348417124746190e+00 -1.817651250548138e-01 1.056368032170254e-01 -1.817169273633559e-01 1.056182506568558e-01
-2.338417124746190e+00 -1.851056883818053e-01 1.077747480897128e-01 -1.850842943938716e-01 1.077736686052602e-01
-2.328417124746190e+00 -1.884739259550337e-01 1.099396428133344e-01 -1.884238875099795e-01 1.099204697384480e-01
-2.318417124746190e+00 -1.918370250244490e-01 1.121106336502890e-01 -1.917359498703377e-01 1.120587368671060e-01
-2.308417124746190e+00 -1.951496271541139e-01 1.142583657774209e-01 -1.950207264945894e-01 1.141885550822859e-01
-2.298417124746190e+00 -1.983932487835683e-01 1.163705173132196e-01 -1.982784635718341e-01 1.163100113446936e-01
-2.288417124746190e+00 -2.015709983942486e-01 1.184487007393276e-01 -2.015094078554525e-01 1.184231941215029e-01
-2.278417124746190e+00 -2.046895756262282e-01 1.204969193169232e-01 -2.047138061339988e-01 1.205281930651830e-01
-2.268417124746190e+00 -2.081207454473311e-01 1.227605837300461e-01 -2.078919047691626e-01 1.226250987295135e-01
-2.258417124746190e+00 -2.111823259687275e-01 1.247896148256070e-01 -2.110439492929227e-01 1.247140023185525e-01
-2.248417124746190e+00 -2.142387116903018e-01 1.268239679933261e-01 -2.141701840569855e-01 1.267949954648357e-01
-2.238417124746190e+00 -2.173055213910155e-01 1.288742135384526e-01 -2.172708519284329e-01 1.288681700335290e-01
-2.228417124746190e+00 -2.203912390937543e-01 1.309463020135676e-01 -2.203461940262430e-01 1.309336179496458e-01
-2.218417124746190e+00 -2.234809340374137e-01 1.330304577112857e-01 -2.233964494939810e-01 1.329914310457794e-01
-2.208417124746190e+00 -2.265411688911643e-01 1.351041658383565e-01 -2.264218553045125e-01 1.350417009280968e-01
-2.198417124746190e+00 -2.295480712143681e-01 1.371510355672776e-01 -2.294226460930761e-01 1.370845188585960e-01
-2.188417124746190e+00 -2.324974432540665e-01 1.391678615788689e-01 -2.323990540154824e-01 1.391199756518626e-01
-2.178417124746190e+00 -2.353939344800249e-01 1.411574687328644e-01 -2.353513086285703e-01 1.411481615847519e-01
-2.168417124746190e+00 -2.382422872826296e-01 1.431227974659014e-01 -2.382796367903896e-01 1.431691663176059e-01
-2.158417124746190e+00 -2.414002793448681e-01 1.453121191592571e-01 -2.411842625778559e-01 1.451830788257656e-01
-2.148417124746190e+00 -2.442041680775420e-01 1.472652967372177e-01 -2.440654072198863e-01 1.471899873402737e-01
-2.138417124746190e+00 -2.470018256413282e-01 1.492230134898020e-01 -2.469232890442391e-01 1.491899792967864e-01
-2.128417124746190e+00 -2.498042627764610e-01 1.511931234037962e-01 -2.497581234364879e-01 1.511831412918172e-01
-2.118417124746190e+00 -2.526184501911274e-01 1.531807627058876e-01 -2.525701228097233e-01 1.531695590455289e-01
-2.108417124746190e+00 -2.554367580852628e-01 1.551807754881053e-01 -2.553594965837394e-01 1.551493173703775e-01
-2.098417124746190e+00 -2.582362807893797e-01 1.571769929069765e-01 -2.581264511725917e-01 1.571225001449796e-01
-2.088417124746190e+00 -2.609953713420692e-01 1.591538476160059e-01 -2.608711899795391e-01 1.590891902926460e-01
-2.078417124746190e+00 -2.637060050128248e-01 1.611053056313796e-01 -2.635939133984860e-01 1.610494697640814e-01
-2.068417124746190e+00 -2.663700026504581e-01 1.630323539097047e-01 -2.662948188211391e-01 1.630034195237993e-01
-2.058417124746190e+00 -2.689915059947305e-01 1.649376879909770e-01 -2.689741006491762e-01 1.649511195398519e-01
-2.048417124746190e+00 -2.715736326464149e-01 1.668233060362650e-01 -2.716319503107997e-01 1.668926487765129e-01
-2.038417124746190e+00 -2.744612705664839e-01 1.689426701229374e-01 -2.742685562811180e-01 1.688280851895902e-01
-2.028417124746190e+00 -2.770124758702157e-01 1.708246820432988e-01 -2.768841041058531e-01 1.707575057240778e-01
-2.018417124746190e+00 -2.795581461533931e-01 1.727116953715742e-01 -2.794787764279296e-01 1.726809863138853e-01
-2.008417124746190e+00 -2.821061868641033e-01 1.746097160500078e-01 -2.820527530165458e-01 1.745986018834094e-01
-1.998417124746190e+00 -2.846611005991198e-01 1.765223117719508e-01 -2.846062107983742e-01 1.765104263507399e-01
-1.988417124746190e+00 -2.872171456343524e-01 1.784453922019685e-01 -2.871393238905711e-01 1.784165326323056e-01
-1.978417124746190e+00 -2.897576877411306e-01 1.803665295038108e-01 -2.896522636353138e-01 1.803169926487939e-01
-1.968417124746190e+00 -2.922656221810921e-01 1.822726907976321e-01 -2.921451986356102e-01 1.822118773321880e-01
-1.958417124746190e+00 -2.947329364011348e-01 1.841575433320268e-01 -2.946182947921604e-01 1.841012566337850e-01
-1.948417124746190e+00 -2.971598442702128e-01 1.860209559742673e-01 -2.970717153410639e-01 1.859851995330696e-01
-1.938417124746190e+00 -2.995495164935219e-01 1.878650809369127e-01 -2.995056208921957e-01 1.878637740473336e-01
-1.928417124746190e+00 -3.019048520161213e-01 1.896919029630285e-01 -3.019201694680942e-01 1.897370472419379e-01
-1.918417124746190e+00 -3.045378627026555e-01 1.917450784685448e-01 -3.043155165432143e-01 1.916050852411300e-01
-1.908417124746190e+00 -3.068535056738904e-01 1.935606075436826e-01 -3.066918150834241e-01 1.934679532393322e-01
-1.898417124746190e+00 -3.091597588405913e-01 1.953780551666364e-01 -3.090492155856330e-01 1.953257155128307e-01
-1.888417124746190e+00 -3.114620189501576e-01 1.972017650582208e-01 -3.113878661174496e-01 1.971784354317976e-01
-1.878417124746190e+00 -3.137657683857742e-01 1.990362385862599e-01 -3.137079123567856e-01 1.990261754725880e-01
-1.868417124746190e+00 -3.160727111930443e-01 2.008830368137551e-01 -3.160094976313261e-01 2.008689972302591e-01
-1.858417124746190e+00 -3.183765362602554e-01 2.027372844247251e-01 -3.182927629577999e-01 2.027069614312638e-01
-1.848417124746190e+00 -3.206639540812665e-01 2.045883413439608e-01 -3.205578470809887e-01 2.045401279462756e-01
-1.838417124746190e+00 -3.229223794325879e-01 2.064259156626913e-01 -3.228048865124256e-01 2.063685558031083e-01
-1.828417124746190e+00 -3.251459789838367e-01 2.082450313366840e-01 -3.250340155687347e-01 2.081923031996947e-01
-1.818417124746190e+00 -3.273348985021887e-01 2.100455336799683e-01 -3.272453664095745e-01 2.100114275170947e-01
-1.808417124746190e+00 -3.294916293594403e-01 2.118292082915708e-01 -3.294390690751495e-01 2.118259853325058e-01
-1.798417124746190e+00 -3.316186028579443e-01 2.135978294954565e-01 -3.316152515232632e-01 2.136360324322515e-01
-1.788417124746190e+00 -3.340029244723618e-01 2.155919166666951e-01 -3.337740396658835e-01 2.154416238247262e-01
-1.778417124746190e+00 -3.360899983802241e-01 2.173476320740069e-01 -3.359155574052060e-01 2.172428137532777e-01
-1.768417124746190e+00 -3.381669472545526e-01 2.191044524563321e-01 -3.380399266691897e-01 2.190396557090092e-01
-1.758417124746190e+00 -3.402373835704510e-01 2.208655030210211e-01 -3.401472674465591e-01 2.208322024434893e-01
-1.748417124746190e+00 -3.423055842268730e-01 2.226345481777125e-01 -3.422376978212541e-01 2.226205059813521e-01
-1.738417124746190e+00 -3.443744887444934e-01 2.244142819477070e-01 -3.443113340063242e-01 2.244046176327805e-01
-1.728417124746190e+00 -3.464425498200096e-01 2.262035647790820e-01 -3.463682903772556e-01 2.261845880058592e-01
-1.718417124746190e+00 -3.485020516660222e-01 2.279958473458588e-01 -3.484086795047310e-01 2.279604670187921e-01
-1.708417124746190e+00 -3.505421682259463e-01 2.297817004194072e-01 -3.504326121868148e-01 2.297323039119726e-01
-1.698417124746190e+00 -3.525547271450255e-01 2.315538201732372e-01 -3.524401974805649e-01 2.315001472599050e-01
-1.688417124746190e+00 -3.545368568105174e-01 2.333094396228511e-01 -3.544315427330713e-01 2.332640449829677e-01
-1.678417124746190e+00 -3.564894391925530e-01 2.350490789045936e-01 -3.564067536119200e-01 2.350240443590161e-01
-1.668417124746190e+00 -3.584145923860425e-01 2.367743803636669e-01 -3.583659341350880e-01 2.367801920348200e-01
-1.658417124746190e+00 -3.603142163251944e-01 2.384868279181254e-01 -3.603091867002704e-01 2.385325340373351e-01
-1.648417124746190e+00 -3.624524574793713e-01 2.404265163653269e-01 -3.622366121136438e-01 2.402811157848017e-01
-1.638417124746190e+00 -3.643170016838290e-01 2.421287027016529e-01 -3.641483096180723e-01 2.420259820976738e-01
-1.628417124746190e+00 -3.661719313859068e-01 2.438322448649998e-01 -3.660443769207604e-01 2.437671772093740e-01
-1.618417124746190e+00 -3.680199064061438e-01 2.455396558612341e-01 -3.679249102203591e-01 2.455047447768751e-01
-1.608417124746190e+00 -3.698641197427103e-01 2.472540065011311e-01 -3.697900042335325e-01 2.472387278911072e-01
-1.598417124746190e+00 -3.717070060040972e-01 2.489777300972788e-01 -3.716397522209903e-01 2.489691690871906e-01
-1.588417124746190e+00 -3.735480880082500e-01 2.507105694047321e-01 -3.734742460129959e-01 2.506961103544955e-01
-1.578417124746190e+00 -3.753823760902805e-01 2.524479726842671e-01 -3.752935760343551e-01 2.524195931465275e-01
-1.568417124746190e+00 -3.772016740627112e-01 2.541822088166006e-01 -3.770978313288960e-01 2.541396583906420e-01
-1.558417124746190e+00 -3.789985636692088e-01 2.559061010171528e-01 -3.788870995834452e-01 2.558563464975872e-01
-1.548417124746190e+00 -3.807693473609521e-01 2.576158931788062e-01 -3.806614671513120e-01 2.575696973708765e-01
-1.538417124746190e+00 -3.825138329413677e-01 2.593111485295748e-01 -3.824210190752858e-01 2.592797504159947e-01
-1.528417124746190e+00 -3.842335219142610e-01 2.609930794181823e-01 -3.841658391101571e-01 2.609865445494359e-01
-1.518417124746190e+00 -3.859301440515283e-01 2.626631544672406e-01 -3.858960097447699e-01 2.626901182075779e-01
-1.508417124746190e+00 -3.876050314175392e-01 2.643224854305945e-01 -3.876116122236149e-01 2.643905093553937e-01
-1.498417124746190e+00 -3.895006000365404e-01 2.662134858009282e-01 -3.893127265679701e-01 2.660877554950030e-01
-1.488417124746190e+00 -3.911482912979096e-01 2.678687578842461e-01 -3.909994315966003e-01 2.677818936740641e-01
-1.478417124746190e+00 -3.927874141503716e-01 2.695262905672133e-01 -3.926718049460214e-01 2.694729604940116e-01
-1.468417124746190e+00 -3.944201475346272e-01 2.711883762780079e-01 -3.943299230903397e-01 2.711609921181384e-01
-1.458417124746190e+00 -3.960488630192788e-01 2.728575664745257e-01 -3.959738613606736e-01 2.728460242795279e-01
-1.448417124746190e+00 -3.976750233332592e-01 2.745355394327771e-01 -3.976036939641668e-01 2.745280922888357e-01
-1.438417124746190e+00 -3.992976030083134e-01 2.762214237129616e-01 -3.992194940026010e-01 2.762072310419266e-01
-1.428417124746190e+00 -4.009121937472457e-01 2.779107718600474e-01 -4.008213334906168e-01 2.778834750273659e-01
-1.418417124746190e+00 -4.025122844242250e-01 2.795967905773943e-01 -4.024092833735493e-01 2.795568583337692e-01
-1.408417124746190e+00 -4.040922067690719e-01 2.812733950109115e-01 -4.039834135448890e-01 2.812274146570144e-01
-1.398417124746190e+00 -4.056491569241559e-01 2.829374003191045e-01 -4.055437928633736e-01 2.828951773073156e-01
-1.388417124746190e+00 -4.071829988547520e-01 2.845884113886787e-01 -4.070904891697198e-01 2.845601792161640e-01
-1.378417124746190e+00 -4.086949414973134e-01 2.862274836420623e-01 -4.086235693030021e-01 2.862224529431355e-01
-1.368417124746190e+00 -4.101864253073577e-01 2.878559559035217e-01 -4.101430991166863e-01 2.878820306825717e-01
-1.358417124746190e+00 -4.116586040726694e-01 2.894748894078333e-01 -4.116491434943256e-01 2.895389442701317e-01
-1.348417124746190e+00 -4.133271463089966e-01 2.913239429385729e-01 -4.131417663649262e-01 2.911932251892212e-01
-1.338417124746190e+00 -4.147720446475440e-01 2.929376906717825e-01 -4.146210307179883e-01 2.928449045772994e-01
-1.328417124746190e+00 -4.162082247186842e-01 2.945534768607860e-01 -4.160869986182327e-01 2.944940132320658e-01
-1.318417124746190e+00 -4.176372119730267e-01 2.961731026726411e-01 -4.175397312200164e-01 2.961405816175315e-01
-1.308417124746190e+00 -4.190608090616608e-01 2.977987405462283e-01 -4.189792887814460e-01 2.977846398699741e-01
-1.298417124746190e+00 -4.204804568044722e-01 2.994322096121533e-01 -4.204057306781948e-01 2.994262178037812e-01
-1.288417124746190e+00 -4.218961609986529e-01 3.010737127620316e-01 -4.218191154170305e-01 3.010653449171847e-01
-1.278417124746190e+00 -4.233055108742410e-01 3.027206234410864e-01 -4.232195006490594e-01 3.027020503978849e-01
-1.268417124746190e+00 -4.247038747087169e-01 3.043676080870346e-01 -4.246069431826932e-01 3.043363631285717e-01
-1.258417124746190e+00 -4.260861914138991e-01 3.060086556473483e-01 -4.259814989963455e-01 3.059683116923407e-01
-1.248417124746190e+00 -4.274490247732207e-01 3.076395176261011e-01 -4.273432232508621e-01 3.075979243780091e-01
-1.238417124746190e+00 -4.287912526770757e-01 3.092586116250815e-01 -4.286921703016935e-01 3.092252291853314e-01
-1.228417124746190e+00 -4.301133943629492e-01 3.108663066578064e-01 -4.300283937108123e-01 3.108502538301202e-01
-1.218417124746190e+00 -4.314166083312677e-01 3.124637692783981e-01 -4.313519462583834e-01 3.124730257492697e-01
-1.208417124746190e+00 -4.327020295358033e-01 3.140521744128779e-01 -4.326628799541916e-01 3.140935721056879e-01
-1.198417124746190e+00 -4.339705113608643e-01 3.156323834899230e-01 -4.339612460488311e-01 3.157119197931379e-01
-1.188417124746190e+00 -4.354129958974327e-01 3.174451441730687e-01 -4.352470950446641e-01 3.173280954409891e-01
-1.178417124746190e+00 -4.366580931158592e-01 3.190237745303177e-01 -4.365204767065518e-01 3.189421254188826e-01
-1.168417124746190e+00 -4.378948975417749e-01 3.206049872702191e-01 -4.377814400723627e-01 3.205540358413113e-01
-1.158417124746190e+00 -4.391246161599950e-01 3.221904298909589e-01 -4.390300334632644e-01 3.221638525721158e-01
-1.148417124746190e+00 -4.403485949583335e-01 3.237819871768209e-01 -4.402663044938029e-01 3.237716012288999e-01
-1.138417124746190e+00 -4.415677966338575e-01 3.253811028904964e-01 -4.414903000817735e-01 3.253773071873662e-01
-1.128417124746190e+00 -4.427819947669574e-01 3.269876893845184e-01 -4.427020664578885e-01 3.269809955855732e-01
-1.118417124746190e+00 -4.439891091773076e-01 3.285991694723587e-01 -4.439016491752456e-01 3.285826913281159e-01
-1.108417124746190e+00 -4.451854419778577e-01 3.302106861588981e-01 -4.450890931186030e-01 3.301824190902335e-01
-1.098417124746190e+00 -4.463670377820627e-01 3.318168578393316e-01 -4.462644425134603e-01 3.317802033218420e-01
-1.088417124746190e+00 -4.475311968854153e-01 3.334138385897809e-01 -4.474277409349589e-01 3.333760682514973e-01
-1.078417124746190e+00 -4.486770030409141e-01 3.350001210519836e-01 -4.485790313165931e-01 3.349700378902870e-01
-1.068417124746190e+00 -4.498048473167681e-01 3.365759755920916e-01 -4.497183559587477e-01 3.365621360356543e-01
-1.058417124746190e+00 -4.509156704652578e-01 3.381424601383183e-01 -4.508457565370586e-01 3.381523862751565e-01
-1.048417124746190e+00 -4.520104306334998e-01 3.397006966768774e-01 -4.519612741106029e-01 3.397408119901562e-01
-1.038417124746190e+00 -4.530898747020065e-01 3.412515447787899e-01 -4.530649491299212e-01 3.413274363594503e-01
