# param.mu, -tC, rho1, E_exact*2/z, rho_exact

-3.464091615137754e+00 -9.900930004964222e-05 5.706870617825666e-05 -1.529658047128071e-08 8.831500149087381e-09
-3.364091615137754e+00 -1.331069963481364e-02 7.820969937455041e-03 -1.360085967300339e-02 7.988234669206600e-03
-3.264091615137754e+00 -3.465569692910174e-02 2.070679920619362e-02 -3.464609140809905e-02 2.069507336711002e-02
-3.164091615137754e+00 -5.769258166603333e-02 3.503661570051483e-02 -5.790132091033273e-02 3.516888740371466e-02
-3.064091615137754e+00 -8.196399592801751e-02 5.061651122819311e-02 -8.173757242686538e-02 5.047903821251043e-02
-2.964091615137754e+00 -1.055713281626018e-01 6.627137108254869e-02 -1.054110039625706e-01 6.618825361115625e-02
-2.864091615137754e+00 -1.290535633052283e-01 8.238174689517573e-02 -1.285427333935807e-01 8.206427935871331e-02
-2.764091615137754e+00 -1.508733534785167e-01 9.787585950863761e-02 -1.509311431477158e-01 9.797589214498410e-02
-2.664091615137754e+00 -1.728120401739174e-01 1.140244611323902e-01 -1.724687622877199e-01 1.138466439811892e-01
-2.564091615137754e+00 -1.935494424083551e-01 1.298815299641448e-01 -1.931009689993475e-01 1.296316949499387e-01
-2.464091615137754e+00 -2.132291991737901e-01 1.455256081432647e-01 -2.128038564837167e-01 1.453052580966937e-01
-2.364091615137754e+00 -2.326062928900475e-01 1.615754462188663e-01 -2.315717124924482e-01 1.608533967099934e-01
-2.264091615137754e+00 -2.497041137542241e-01 1.763504032476148e-01 -2.494096484627549e-01 1.762697099005185e-01
-2.164091615137754e+00 -2.668939930178722e-01 1.918666908038491e-01 -2.663291282764768e-01 1.915526597850242e-01
-2.064091615137754e+00 -2.827455222226294e-01 2.068502119530959e-01 -2.823451950706328e-01 2.067038710128787e-01
-1.964091615137754e+00 -2.985392907194894e-01 2.225322319054588e-01 -2.974747241727740e-01 2.217270259289257e-01
-1.864091615137754e+00 -3.121527346001086e-01 2.367598732194960e-01 -3.117353120236006e-01 2.366271349305327e-01
-1.764091615137754e+00 -3.256208572473106e-01 2.515963386759427e-01 -3.251445673803902e-01 2.514100487529242e-01
-1.664091615137754e+00 -3.382753043961995e-01 2.663504074817866e-01 -3.377196610817094e-01 2.660821298611211e-01
-1.564091615137754e+00 -3.495945314016826e-01 2.803503677649299e-01 -3.494770440080978e-01 2.806500302416293e-01
-1.464091615137754e+00 -3.611210655465057e-01 2.955550548625213e-01 -3.604322753399952e-01 2.951205413570738e-01
-1.364091615137754e+00 -3.710119001428865e-01 3.095399747371926e-01 -3.705999234193472e-01 3.095004936251333e-01
-1.264091615137754e+00 -3.805247608574902e-01 3.240055235379976e-01 -3.799935143437587e-01 3.237966902186470e-01
-1.164091615137754e+00 -3.891236808802256e-01 3.381589186264705e-01 -3.886255116988714e-01 3.380158648389289e-01
-1.064091615137754e+00 -3.966860184003582e-01 3.516947903897539e-01 -3.965073162568534e-01 3.521646563367155e-01
-9.640916151377543e-01 -4.042589614556741e-01 3.665984526724991e-01 -4.036492780666313e-01 3.662495952252253e-01
-8.640916151377542e-01 -4.105088059393616e-01 3.802717014947151e-01 -4.100607157748885e-01 3.802770986102297e-01
-7.640916151377541e-01 -4.162629070815710e-01 3.943945566001260e-01 -4.157499396505568e-01 3.942534710837391e-01
-6.640916151377541e-01 -4.212284877386731e-01 4.082908749061763e-01 -4.207242758995937e-01 4.081849098402023e-01
-5.640916151377540e-01 -4.253440448658473e-01 4.216402473638430e-01 -4.249900906207840e-01 4.220775127751230e-01
-4.640916151377543e-01 -4.291285888881769e-01 4.363333594166788e-01 -4.285528122790824e-01 4.359372886809517e-01
-3.640916151377542e-01 -4.318974843928619e-01 4.497330801933749e-01 -4.314169519355117e-01 4.497701689079701e-01
-2.640916151377541e-01 -4.340799981748660e-01 4.636138876885455e-01 -4.335861207225631e-01 4.635820200385078e-01
-1.640916151377541e-01 -4.355646569297980e-01 4.774779816245567e-01 -4.350630442260898e-01 4.773786572516988e-01
-6.409161513775397e-02 -4.363353448009410e-01 4.908391416905888e-01 -4.358495735530069e-01 4.911658581471399e-01
3.590838486224568e-02 -4.364338771092370e-01 5.054681796754514e-01 -4.359466929457221e-01 5.049493768588994e-01
1.359083848622458e-01 -4.358509169280709e-01 5.187069664815507e-01 -4.353545238615186e-01 5.187349583328220e-01
2.359083848622459e-01 -4.345733683386370e-01 5.324400438195714e-01 -4.340723254774012e-01 5.325283526641648e-01
3.359083848622459e-01 -4.325756355683290e-01 5.463993430971735e-01 -4.320984916157248e-01 5.463353294016670e-01
4.359083848622460e-01 -4.299654462323836e-01 5.599332605861171e-01 -4.294305441198157e-01 5.601616917191010e-01
5.359083848622457e-01 -4.263682840782546e-01 5.746696585124723e-01 -4.260651227482817e-01 5.740132903356658e-01
6.359083848622462e-01 -4.224687009729947e-01 5.878988891125767e-01 -4.219979717089219e-01 5.878960370303351e-01
7.359083848622459e-01 -4.177531652098860e-01 6.016327631946045e-01 -4.172239230268170e-01 6.018159175388110e-01
8.359083848622455e-01 -4.121901273003571e-01 6.157776889215040e-01 -4.117368770476659e-01 6.157790035393133e-01
9.359083848622460e-01 -4.060650848121263e-01 6.295969549043201e-01 -4.055297805322598e-01 6.297914633163919e-01
1.035908384862246e+00 -3.994790902349812e-01 6.429883829148496e-01 -3.985946030229904e-01 6.438595705276681e-01
1.135908384862246e+00 -3.913508811844870e-01 6.579730146969311e-01 -3.909223124897450e-01 6.579897102684528e-01
1.235908384862246e+00 -3.830609923268435e-01 6.719383893973448e-01 -3.825028517359629e-01 6.721883813067390e-01
1.335908384862246e+00 -3.737473843200473e-01 6.864121696387526e-01 -3.733251177330218e-01 6.864621929067426e-01
1.435908384862246e+00 -3.639401852167803e-01 7.005557103200656e-01 -3.633769470523280e-01 7.008178540146417e-01
1.535908384862246e+00 -3.525793063038603e-01 7.158123533239434e-01 -3.526451120301226e-01 7.152621516581399e-01
1.635908384862246e+00 -3.415909823903945e-01 7.296338213808968e-01 -3.411153344602569e-01 7.298019140794431e-01
1.735908384862246e+00 -3.293199174973087e-01 7.441789426568589e-01 -3.287723268217410e-01 7.444439521753399e-01
1.835908384862246e+00 -3.159638492692042e-01 7.591239324978242e-01 -3.155998758722781e-01 7.591949699395198e-01
1.935908384862246e+00 -3.024068297882232e-01 7.734973284128620e-01 -3.015809907754028e-01 7.740614302835774e-01
2.035908384862246e+00 -2.869046379962036e-01 7.890978426306778e-01 -2.866981492447294e-01 7.890493560309041e-01
2.135908384862246e+00 -2.715476982922089e-01 8.038062419852842e-01 -2.709336929304947e-01 8.041640356656553e-01
2.235908384862246e+00 -2.545736843231264e-01 8.193252551932061e-01 -2.542704516173689e-01 8.194095872554202e-01
2.335908384862246e+00 -2.374225491848930e-01 8.343241410315148e-01 -2.366927220723602e-01 8.347883077947585e-01
2.435908384862246e+00 -2.183627283028932e-01 8.502882841134437e-01 -2.181878048205045e-01 8.502996917269845e-01
2.535908384862246e+00 -1.993367218212048e-01 8.655816010002603e-01 -1.987484355363542e-01 8.659389279381409e-01
2.635908384862246e+00 -1.785604815487047e-01 8.816403248768986e-01 -1.783766855134374e-01 8.816945524908735e-01
2.735908384862246e+00 -1.583917649640271e-01 8.966590041205811e-01 -1.570903469073744e-01 8.975446903997345e-01
2.835908384862246e+00 -1.355209073483558e-01 9.130810845619565e-01 -1.349336782328459e-01 9.134508458731260e-01
2.935908384862246e+00 -1.119878275866294e-01 9.293814442987425e-01 -1.119961656221557e-01 9.293472213714136e-01
3.035908384862246e+00 -8.816160201773764e-02 9.453232022809053e-01 -8.844693845892361e-02 9.451213564878130e-01
3.135908384862246e+00 -6.477724594776796e-02 9.604672257764425e-01 -6.460237401431553e-02 9.605764327763658e-01
3.235908384862246e+00 -4.179317784326897e-02 9.749014963717789e-01 -4.107303591793156e-02 9.753497978982625e-01
3.335908384862246e+00 -1.866756913712906e-02 9.889812669483290e-01 -1.914216922455087e-02 9.887033301742979e-01
3.435908384862246e+00 -1.637755483569197e-03 9.990490810012670e-01 -2.211750633877635e-03 9.987168145496984e-01
