# param.mu, -tC, rho1, E_exact*2/z, rho_exact

-3.464091615137754e+00 -4.576244321323457e-06 2.641331734695414e-06 -1.529658047128071e-08 8.831500149087381e-09
-3.364091615137754e+00 -1.354333514793481e-02 7.955030212964981e-03 -1.360085967300339e-02 7.988234669206600e-03
-3.264091615137754e+00 -3.467683491909096e-02 2.071480456832997e-02 -3.464609140809905e-02 2.069507336711002e-02
-3.164091615137754e+00 -5.786606786745778e-02 3.514654143102288e-02 -5.790132091033273e-02 3.516888740371466e-02
-3.064091615137754e+00 -8.175080718743713e-02 5.048595217524934e-02 -8.173757242686538e-02 5.047903821251043e-02
-2.964091615137754e+00 -1.054189444736571e-01 6.618967737502973e-02 -1.054110039625706e-01 6.618825361115625e-02
-2.864091615137754e+00 -1.285559667141152e-01 8.206691880812240e-02 -1.285427333935807e-01 8.206427935871331e-02
-2.764091615137754e+00 -1.510698808582407e-01 9.806663187904588e-02 -1.509311431477158e-01 9.797589214498410e-02
-2.664091615137754e+00 -1.725108808817252e-01 1.138653191532194e-01 -1.724687622877199e-01 1.138466439811892e-01
-2.564091615137754e+00 -1.931885278160866e-01 1.296834021211087e-01 -1.931009689993475e-01 1.296316949499387e-01
-2.464091615137754e+00 -2.128647415972923e-01 1.453340532292461e-01 -2.128038564837167e-01 1.453052580966937e-01
-2.364091615137754e+00 -2.315905039340518e-01 1.608444142470370e-01 -2.315717124924482e-01 1.608533967099934e-01
-2.264091615137754e+00 -2.494897141010668e-01 1.763109772592845e-01 -2.494096484627549e-01 1.762697099005185e-01
-2.164091615137754e+00 -2.664574000085048e-01 1.916367015034539e-01 -2.663291282764768e-01 1.915526597850242e-01
-2.064091615137754e+00 -2.824402913856038e-01 2.067562479755815e-01 -2.823451950706328e-01 2.067038710128787e-01
-1.964091615137754e+00 -2.975377824640925e-01 2.217456877536622e-01 -2.974747241727740e-01 2.217270259289257e-01
-1.864091615137754e+00 -3.117870516948348e-01 2.366308915525381e-01 -3.117353120236006e-01 2.366271349305327e-01
-1.764091615137754e+00 -3.252066247978082e-01 2.514219190907866e-01 -3.251445673803902e-01 2.514100487529242e-01
-1.664091615137754e+00 -3.377351807368394e-01 2.660348818860441e-01 -3.377196610817094e-01 2.660821298611211e-01
-1.564091615137754e+00 -3.495498230031204e-01 2.806691326676182e-01 -3.494770440080978e-01 2.806500302416293e-01
-1.464091615137754e+00 -3.604337829254948e-01 2.950395905557689e-01 -3.604322753399952e-01 2.951205413570738e-01
-1.364091615137754e+00 -3.706782181753222e-01 3.095222930546281e-01 -3.705999234193472e-01 3.095004936251333e-01
-1.264091615137754e+00 -3.799999649457831e-01 3.237024633708361e-01 -3.799935143437587e-01 3.237966902186470e-01
-1.164091615137754e+00 -3.887044941407862e-01 3.380342137112521e-01 -3.886255116988714e-01 3.380158648389289e-01
-1.064091615137754e+00 -3.965299533395061e-01 3.520746590343806e-01 -3.965073162568534e-01 3.521646563367155e-01
-9.640916151377543e-01 -4.037267345312185e-01 3.662599998202847e-01 -4.036492780666313e-01 3.662495952252253e-01
-8.640916151377542e-01 -4.101033437362451e-01 3.802038285798147e-01 -4.100607157748885e-01 3.802770986102297e-01
-7.640916151377541e-01 -4.158259958953779e-01 3.942540753328458e-01 -4.157499396505568e-01 3.942534710837391e-01
-6.640916151377541e-01 -4.207851389714050e-01 4.081354665970525e-01 -4.207242758995937e-01 4.081849098402023e-01
-5.640916151377540e-01 -4.250667038674164e-01 4.220710195963744e-01 -4.249900906207840e-01 4.220775127751230e-01
-4.640916151377543e-01 -4.286267934655240e-01 4.359135226433458e-01 -4.285528122790824e-01 4.359372886809517e-01
-3.640916151377542e-01 -4.314962561857127e-01 4.497647628213010e-01 -4.314169519355117e-01 4.497701689079701e-01
-2.640916151377541e-01 -4.336668543084691e-01 4.635805951613752e-01 -4.335861207225631e-01 4.635820200385078e-01
