# mu2 n0_GS n_exact n_diff
-1.99900 0.000077874277900 0.000020094025004 0.000057780252896
-1.95942 0.001724515150311 0.004842605852443 0.003118090702132
-1.91983 0.008475647451897 0.012614070318263 0.004138422866366
-1.88025 0.019553495195554 0.021722879971030 0.002169384775476
-1.84066 0.032296931872278 0.031590983142134 0.000705948730144
-1.80108 0.045110481585054 0.041916049236119 0.003194432348935
-1.76150 0.057439249529349 0.052519498857585 0.004919750671765
-1.72191 0.069162487156931 0.063288695330938 0.005873791825993
-1.68233 0.080326988405803 0.074149624433113 0.006177363972690
-1.64274 0.091195834899618 0.085052326981201 0.006143507918417
-1.60316 0.101761583424970 0.095962495371258 0.005799088053713
-1.56357 0.112146880836150 0.106856345760595 0.005290535075555
-1.52399 0.122635237296921 0.117717353156284 0.004917884140637
-1.48441 0.133231992726243 0.128534101823437 0.004697890902805
-1.44482 0.143798249387087 0.139298831064092 0.004499418322996
-1.40524 0.154323968988249 0.150006429075478 0.004317539912771
-1.36565 0.164870231422667 0.160653723573062 0.004216507849604
-1.32607 0.175455348424440 0.171238973584966 0.004216374839474
-1.28649 0.186047640054163 0.181761500367302 0.004286139686860
-1.24690 0.196557881390953 0.192221416212122 0.004336465178831
-1.20732 0.206957324198215 0.202619423191933 0.004337901006283
-1.16773 0.217250331334604 0.212956662542245 0.004293668792360
-1.12815 0.227470958153482 0.223234601146875 0.004236357006607
-1.08856 0.237642835499139 0.233454945497440 0.004187890001699
-1.04898 0.247719450041247 0.243619576189818 0.004099873851429
-1.00940 0.257673440524668 0.253730497901765 0.003942942622903
-0.96981 0.267540303674673 0.263789801128541 0.003750502546132
-0.93023 0.277365154830985 0.273799632908829 0.003565521922157
-0.89064 0.287181688424826 0.283762174465774 0.003419513959052
-0.85106 0.296997756062187 0.293679624195041 0.003318131867146
-0.81148 0.306787381979997 0.303554184806495 0.003233197173502
-0.77189 0.316509148471886 0.313388053705451 0.003121094766436
-0.73231 0.326141055277829 0.323183415909231 0.002957639368598
-0.69272 0.335698460402914 0.332942438953560 0.002756021449354
-0.65314 0.345198718772434 0.342667269364318 0.002531449408116
-0.61355 0.354665586970407 0.352360030362888 0.002305556607519
-0.57397 0.364129207433717 0.362022820544869 0.002106386888848
-0.53439 0.373603050369320 0.371657713327350 0.001945337041970
-0.49480 0.383088805039570 0.381266757003146 0.001822048036424
-0.45522 0.392582775206081 0.390851975274154 0.001730799931926
-0.41563 0.402079221663405 0.400415368162594 0.001663853500811
