# mu2 e0_GS e_exact e_diff
-1.99900 -0.000080662228755 -0.000023825425493 0.000056836803261
-1.95942 -0.006169558582483 -0.005827420470349 0.000342138112134
-1.91983 -0.015038597142914 -0.015347370778987 0.000308773636073
-1.88025 -0.026554777241192 -0.026643159815943 0.000088382574750
-1.84066 -0.038798680622011 -0.038965569100451 0.000166888478441
-1.80108 -0.052095509067686 -0.051891240881433 0.000204268186254
-1.76150 -0.065218747560805 -0.065150449702480 0.000068297858326
-1.72191 -0.078970557981258 -0.078560138247783 0.000410419733475
-1.68233 -0.091976565884781 -0.091991097445635 0.000014531560854
-1.64274 -0.105799983659443 -0.105349680349373 0.000450303310071
-1.60316 -0.118740874268879 -0.118566740245532 0.000174134023347
-1.56357 -0.132439540158561 -0.131590543183453 0.000848996975108
-1.52399 -0.144563623544414 -0.144382029626177 0.000181593918238
-1.48441 -0.157195539687115 -0.156911540782195 0.000283998904921
-1.44482 -0.169689956066673 -0.169156496771217 0.000533459295456
-1.40524 -0.181297135584901 -0.181099714149817 0.000197421435084
-1.36565 -0.193759039879289 -0.192728164696119 0.001030875183169
-1.32607 -0.204444646169754 -0.204032045703450 0.000412600466304
-1.28649 -0.215259786969141 -0.215004074453512 0.000255712515629
-1.24690 -0.226127233499784 -0.225638946714689 0.000488286785095
-1.20732 -0.236434606491911 -0.235932916995170 0.000501689496741
-1.16773 -0.246016633828599 -0.245883470326947 0.000133163501653
-1.12815 -0.256449200609177 -0.255489063636817 0.000960136972360
-1.08856 -0.265236506287831 -0.264748920554312 0.000487585733519
-1.04898 -0.273980534988643 -0.273662867625138 0.000317667363505
-1.00940 -0.282679390708415 -0.282231202868407 0.000448187840007
-0.96981 -0.290987653974534 -0.290454589784629 0.000533064189905
-0.93023 -0.298695116682800 -0.298333971523615 0.000361145159185
-0.89064 -0.305868012780468 -0.305870501117634 0.000002488337165
-0.85106 -0.313783624136452 -0.313065484586872 0.000718139549580
-0.81148 -0.320357773314516 -0.319920334410047 0.000437438904469
-0.77189 -0.326809417345348 -0.326436531378882 0.000372885966466
-0.73231 -0.333084865957718 -0.332615593261428 0.000469272696290
-0.69272 -0.338966607850459 -0.338459049015391 0.000507558835067
-0.65314 -0.344354799748969 -0.343968417540161 0.000386382208809
-0.61355 -0.349301465552634 -0.349145190151432 0.000156275401202
-0.57397 -0.354667034107475 -0.353990816116951 0.000676217990524
-0.53439 -0.358982960668509 -0.358506690715199 0.000476269953310
-0.49480 -0.363097865831774 -0.362694145377630 0.000403720454144
-0.45522 -0.366997318967193 -0.366554439554614 0.000442879412579
-0.41563 -0.370574657450303 -0.370088754009620 0.000485903440683
-0.37605 -0.373746929956834 -0.373298185298563 0.000448744658271
-0.33647 -0.376532611591604 -0.376183741234008 0.000348870357596
-0.29688 -0.379378638277624 -0.378746337169137 0.000632301108487
-0.25730 -0.381491329244479 -0.380986792965434 0.000504536279045
-0.21771 -0.383347024089590 -0.382905830532230 0.000441193557359
-0.17813 -0.384939874276364 -0.384504071846496 0.000435802429868
-0.13854 -0.386236795166429 -0.385782037378410 0.000454757788018
-0.09896 -0.387197655115236 -0.386740144862830 0.000457510252407
-0.05938 -0.387823738843776 -0.387378708369461 0.000445030474315
-0.01979 -0.388140394872375 -0.387697937635646 0.000442457236728
0.01979 -0.388140394872375 -0.387697937635646 0.000442457236728
0.05938 -0.387823738843776 -0.387378708369461 0.000445030474315
0.09896 -0.387197655115236 -0.386740144862830 0.000457510252407
0.13854 -0.386236795166429 -0.385782037378410 0.000454757788018
0.17813 -0.384939874276364 -0.384504071846496 0.000435802429868
0.21771 -0.383347024089590 -0.382905830532230 0.000441193557359
0.25730 -0.381491329244478 -0.380986792965434 0.000504536279045
0.29688 -0.379378638277624 -0.378746337169137 0.000632301108487
0.33647 -0.376532611591604 -0.376183741234008 0.000348870357596
