# mu2 n0_GS n_exact n_diff
-1.99900 0.000008478228718 0.000014895358570 0.000006417129852
-1.95942 0.003436535788220 0.003686644113347 0.000250108325126
-1.91983 0.009773591712587 0.009824600716394 0.000051009003806
-1.88025 0.017241897858859 0.017257655428255 0.000015757569396
-1.84066 0.025750236796261 0.025538055450450 0.000212181345811
-1.80108 0.034695087881578 0.034412236154157 0.000282851727421
-1.76150 0.044040058190751 0.043717431678572 0.000322626512179
-1.72191 0.053745418803761 0.053341929699728 0.000403489104034
-1.68233 0.063677342226424 0.063205742171451 0.000471600054974
-1.64274 0.073752803037931 0.073249889427261 0.000502913610669
-1.60316 0.083951807795338 0.083429936051411 0.000521871743927
-1.56357 0.094264546355006 0.093711853668644 0.000552692686362
-1.52399 0.104647920771966 0.104069253952568 0.000578666819398
-1.48441 0.115071974383521 0.114481473877368 0.000590500506153
-1.44482 0.125528162545936 0.124932214065497 0.000595948480439
-1.40524 0.136008202483254 0.135408548518976 0.000599653964278
-1.36565 0.146501987319189 0.145900190786066 0.000601796533123
-1.32607 0.157003875712847 0.156398941383405 0.000604934329442
-1.28649 0.167505629753446 0.166898265910930 0.000607363842516
-1.24690 0.177985612146365 0.177392969035552 0.000592643110812
-1.20732 0.188464347625223 0.187878939862511 0.000585407762712
-1.16773 0.198932999722770 0.198352951173747 0.000580048549023
-1.12815 0.209377248473193 0.208812499794769 0.000564748678424
-1.08856 0.219812299100327 0.219255678697565 0.000556620402761
-1.04898 0.230227234409273 0.229681073826683 0.000546160582590
-1.00940 0.240618581584580 0.240087680352560 0.000530901232020
-0.96981 0.250982225051721 0.250474834311429 0.000507390740292
-0.93023 0.261339483002498 0.260842156519718 0.000497326482781
-0.89064 0.271673447753160 0.271189506345293 0.000483941407867
-0.85106 0.281977078926296 0.281516943442450 0.000460135483846
-0.81148 0.292267786349649 0.291824695957287 0.000443090392361
-0.77189 0.302542269673748 0.302113134017428 0.000429135656320
-0.73231 0.312793670556428 0.312382747558060 0.000410922998368
-0.69272 0.323015365884040 0.322634127721994 0.000381238162046
-0.65314 0.333229909433412 0.332867951217324 0.000361958216088
-0.61355 0.343436852453088 0.343084967131553 0.000351885321535
-0.57397 0.353613622984386 0.353285985792708 0.000327637191678
-0.53439 0.363771479878240 0.363471869341200 0.000299610537040
-0.49480 0.373923314845479 0.373643523735011 0.000279791110467
-0.45522 0.384070572470309 0.383801891958234 0.000268680512075
-0.41563 0.394188907262545 0.393947948241390 0.000240959021155
-0.37605 0.404291731037375 0.404082693133205 0.000209037904170
-0.33647 0.414397171457875 0.414207149288933 0.000190022168942
-0.29688 0.424501364322718 0.424322357861122 0.000179006461596
-0.25730 0.434582433576445 0.434429375395642 0.000153058180803
-0.21771 0.444650463849283 0.444529271149743 0.000121192699540
-0.17813 0.454721353453337 0.454623124760149 0.000098228693188
-0.13854 0.464800407239609 0.464712024198430 0.000088383041179
-0.09896 0.474858399358607 0.474797063958250 0.000061335400357
-0.05938 0.484907252087149 0.484879343424992 0.000027908662156
-0.01979 0.494965178439116 0.494959965382766 0.000005213056350
0.01979 0.505034821560883 0.505040034617234 0.000005213056351
0.05938 0.515092747912851 0.515120656575008 0.000027908662157
0.09896 0.525141600641393 0.525202936041750 0.000061335400356
0.13854 0.535199592760391 0.535287975801570 0.000088383041179
0.17813 0.545278646546663 0.545376875239851 0.000098228693188
0.21771 0.555349536150718 0.555470728850257 0.000121192699539
0.25730 0.565417566423554 0.565570624604358 0.000153058180804
0.29688 0.575498635677282 0.575677642138878 0.000179006461596
0.33647 0.585602828542125 0.585792850711066 0.000190022168941
0.37605 0.595708268962625 0.595917306866795 0.000209037904170
0.41563 0.605811092737456 0.606052051758610 0.000240959021154
0.45522 0.615929427529690 0.616198108041766 0.000268680512075
0.49480 0.626076685154521 0.626356476264989 0.000279791110468
0.53439 0.636228520121760 0.636528130658800 0.000299610537041
0.57397 0.646386377015613 0.646714014207292 0.000327637191678
0.61355 0.656563147546913 0.656915032868447 0.000351885321534
