# a=0
0 40 6.551798725066882e-01
0 41 6.556765797800520e-01
0 42 6.559527064915065e-01
0 43 6.561514398034847e-01
0 44 6.570405871431393e-01
0 45 6.575932183172866e-01
0 46 6.598084088501245e-01
0 47 6.594703143132385e-01
0 48 6.581869970100209e-01
0 49 6.924918587066766e-01
0 50 6.813261466539198e-01
0 

# a=4
0 6.525547804891841e-01
0 1 6.526129636367345e-01
0 2 6.526471336229116e-01
0 3 6.526859985836533e-01
0 4 6.527247956435694e-01
0 5 6.527640107840633e-01
0 6 6.528036739612717e-01
0 7 6.528434104725793e-01
0 8 6.528835575218725e-01
0 9 6.529249505360811e-01
0 10 6.529669283123052e-01
0 11 6.530093323998321e-01
0 12 6.530524947088039e-01
0 13 6.530971848019922e-01
0 14 6.531435057762403e-01
0 15 6.531907362396945e-01
0 16 6.532385998596026e-01
0 17 6.532887583077944e-01
0 18 6.533411639457554e-01
0 19 6.533956158304026e-01
0 20 6.534517254486891e-01
0 21 6.535099094059303e-01
0 22 6.535723257944837e-01
0 23 6.536377387038070e-01
0 24 6.537057657127734e-01
0 25 6.537771314878020e-01
0 26 6.538542825979712e-01
0 27 6.539382246130017e-01
0 28 6.540268288185618e-01
0 29 6.541188246689644e-01
0 30 6.542206346486212e-01
0 31 6.543334309921620e-01
0 32 6.544572368612558e-01
0 33 6.545900309288168e-01
0 34 6.547329454380295e-01
0 35 6.549025172881816e-01
0 36 6.550931998921488e-01
0 37 6.553016671932859e-01
0 38 6.555310572365629e-01
0 39 6.558120264141742e-01
0 40 6.561766327254404e-01
0 41 6.565991045165137e-01
0 42 6.570236201364006e-01
0 43 6.576034422337771e-01
0 44 6.584890049814928e-01
0 45 6.598789175039225e-01
0 46 6.616955856481759e-01
0 47 6.626374557504799e-01
0 48 6.691417453827573e-01
0 49 7.042090410669343e-01
0 50 6.701485566345370e-01
0 

