# a=0
0 34 5.303027497727656e-01
0 35 5.303572410244954e-01
0 36 5.303354911074982e-01
0 37 5.304278440005882e-01
0 38 5.303835639918151e-01
0 39 5.305374931334959e-01
0 40 5.304569865632769e-01
0 41 5.307271058658308e-01
0 42 5.305781286766242e-01
0 43 5.311039819728038e-01
0 44 5.308128539216530e-01
0 45 5.320223974124234e-01
0 46 5.314559331429154e-01
0 47 5.352840192470165e-01
0 48 5.353455946603068e-01
0 49 5.666279260875167e-01
0 50 7.828424538073563e-01
0 

# a=4
0 5.300227318511026e-01
0 1 5.300346941159525e-01
0 2 5.300406163928945e-01
0 3 5.300486541398279e-01
0 4 5.300557445662322e-01
0 5 5.300633886595457e-01
0 6 5.300707759272568e-01
0 7 5.300783306950178e-01
0 8 5.300860110396508e-01
0 9 5.300937255096981e-01
0 10 5.301018135603034e-01
0 11 5.301098631362632e-01
0 12 5.301183484019729e-01
0 13 5.301269211731761e-01
0 14 5.301358195982818e-01
0 15 5.301450548513904e-01
0 16 5.301544550257747e-01
0 17 5.301644539699519e-01
0 18 5.301745147307217e-01
0 19 5.301853535747996e-01
0 20 5.301963050070022e-01
0 21 5.302080353664325e-01
0 22 5.302201841111661e-01
0 23 5.302328377318803e-01
0 24 5.302465300172550e-01
0 25 5.302601879793244e-01
0 26 5.302756229644969e-01
0 27 5.302906740695059e-01
0 28 5.303076178828359e-01
0 29 5.303246592792472e-01
0 30 5.303433841894716e-01
0 31 5.303641667523635e-01
0 32 5.303854272784965e-01
0 33 5.304111830097511e-01
0 34 5.304373579843407e-01
0 35 5.304692020627463e-01
0 36 5.305043085495780e-01
0 37 5.305444331746105e-01
0 38 5.305953208781785e-01
0 39 5.306491239503823e-01
0 40 5.307290996005414e-01
0 41 5.308118803619266e-01
0 42 5.309513269413527e-01
0 43 5.311178767834670e-01
0 44 5.314054404811264e-01
0 45 5.319288296751370e-01
0 46 5.327830755550758e-01
0 47 5.359094491873786e-01
0 48 5.422755631838719e-01
0 49 6.008443318568354e-01
0 50 7.638321630753789e-01
0 

